PRODUCTO;CANTIDAD;PESO;PESO_TOTAL;PRECIO
"Aceite Coamo de Soya 900ml";1;0.900000;0.900000;31.000000
"Aceite Vatel Soya 1L";4;1.000000;4.000000;152.520000
"Aceite Vegetal Ideal 400ml";1;0.400000;0.400000;16.430000
"Arroz Agua Blanca 1Kg.";4;1.000000;4.000000;46.000000
"Arroz blanco entero, presentacion 1Kg.";1;0.000000;0.000000;8.500000
"Arroz Mary Tradicional 1Kg.";4;1.000000;4.000000;43.840000
"Atun  Doña Magola 170 Gr.";10;0.170000;1.700000;155.104600
"Avena en Hojuelas Don Pancho 400gr";3;0.400000;1.200000;57.180000
"Avena en Hojuelas Pantera 400gr";1;0.400000;0.400000;13.980000
"Azucar Doce Dia 1Kg.";3;1.000000;3.000000;42.720000
"Brown bear cushion Color : Black";1;0.000000;0.000000;18.900000
"Bulto de Harina de maíz Pan amarilla 1 Kg";2;0.000000;0.000000;4769.600000
"Cafe Brasil 500gr";2;0.500000;1.000000;152.480000
"Carne molida de primera";2;0.000000;0.000000;22.000000
"Carne para bistek de primera";2;0.000000;0.000000;26.000000
"Carne para desmechar de primera";4;0.000000;0.000000;56.000000
"Carne para guisar de primera";7;0.000000;0.000000;91.000000
"Coca Cola 1 Lts.";1;0.000000;0.000000;11.000000
"Coca Cola 1,5 Lts.";2;0.000000;0.000000;30.000000
"Coca Cola 2 Lts.";6;0.000000;0.000000;72.000000
"Combo Quincenal";3;0.000000;0.000000;76.500000
"Desodorante Lady Speed Stick";1;0.000000;0.000000;13.000000
Gatorade;6;0.000000;0.000000;75.000000
"Glup Cola 2 Lts.";1;0.000000;0.000000;0.000000
"Harina de maiz amarilla Pan, presentacion 1Kg.";2;0.000000;0.000000;14.000000
"Harina de Maíz Blanca Juana 1Kg";1;1.000000;1.000000;11.000000
"Harina de Maíz Blanca Kaly 1Kg";9;0.000000;0.000000;0.000000
"Harina de Trigo Doña María 1Kg";1;1.000000;1.000000;14.480000
"Harina de Trigo Dulce Mar Todo Uso 1Kg";1;1.000000;1.000000;18.420000
"Harina de Trigo Ronco Todo Uso 1Kg";2;1.000000;2.000000;40.660000
"Harina PAN de Maíz Blanca 1kg";22;0.000000;0.000000;255.860000
"Hummingbird printed sweater - Color : White, Size : S";1;0.000000;0.000000;35.900000
"Hummingbird printed t-shirt (Tamaño: S - Color: Blanco)";1;0.300000;0.300000;19.120000
"Hummingbird printed t-shirt - Color : White, Size : S";1;0.000000;0.000000;23.900000
"Jabón en polvo ACE 1 Kg.";1;0.000000;0.000000;10.000000
"Jabon Lux";1;0.000000;0.000000;10.000000
"Lavaplatos Kris";1;0.000000;0.000000;10.000000
"Leche En Polvo Completa Dobon 400gr.";1;0.400000;0.400000;37.670000
"Leche En Polvo Completa La Campestre900gr";4;0.900000;3.600000;457.440000
"Leche Liquida Completa La Pastoreña 1L";2;1.000000;2.000000;44.480000
"Leche Liquida Completa Purisima 1L";1;1.000000;1.000000;25.420000
"Margarina Mavesa 500gr";1;1.000000;1.000000;24.640000
"Mayonesa Kraft 445gr";3;0.445000;1.335000;137.220000
"Mountain fox notebook Style : Plain";1;0.000000;0.000000;12.900000
"Mountain fox notebook Style : Ruled";1;0.000000;0.000000;12.900000
"Mug Today is a good day";1;0.000000;0.000000;11.900000
"Papel Higienico Lucianos";1;0.000000;0.000000;15.000000
"Pasta Larga Primor 500 Gr.";3;0.500000;1.500000;39.884040
"Pasta larga, presentacion vermicelli 1Kg.g.";1;0.000000;0.000000;14.000000
"Pepsi 1 Lts.";1;0.000000;0.000000;13.000000
"Pepsi 1,5 Lts.";1;0.000000;0.000000;10.000000
"Pepsi 2 Lts.";2;0.000000;0.000000;26.000000
"Refresco Coca Cola 2L";1;2.000000;2.000000;15.270000
"Sal Bahia 1 Kg.";4;1.000000;4.000000;48.747160
"Sal Delmar 1 Kg";1;1.000000;1.000000;4.431560
"Salsa ketchup Heinz de 397g";100;0.397000;39.700000;1994.000000
"Sardina Picante Margarita 170 Gr.";3;0.170000;0.510000;53.178720
"The adventure begins Framed poster - Size : 80x120cm";2;0.000000;0.000000;158.000000
