VALIDADOR;PRODUCTO;CANTIDAD;PESO;PESO_TOTAL;PRECIO
A2103524;"Aceite Coamo de Soya 900ml";1;0.900000;0.900000;31.000000
A2103524;"Aceite Vatel Soya 1L";4;1.000000;4.000000;152.520000
A2103524;"Arroz Agua Blanca 1Kg.";4;1.000000;4.000000;46.000000
A2103524;"Arroz Mary Tradicional 1Kg.";4;1.000000;4.000000;43.840000
A2103524;"Atun  Doña Magola 170 Gr.";10;0.170000;1.700000;155.104600
A2103524;"Avena en Hojuelas Don Pancho 400gr";3;0.400000;1.200000;57.180000
A2103524;"Avena en Hojuelas Pantera 400gr";1;0.400000;0.400000;13.980000
A2103524;"Azucar Doce Dia 1Kg.";3;1.000000;3.000000;42.720000
A2103524;"Bulto de Harina de maíz Pan amarilla 1 Kg";1;0.000000;0.000000;220.000000
A2103524;"Carne molida de primera";1;0.000000;0.000000;11.000000
A2103524;"Carne para bistek de primera";2;0.000000;0.000000;26.000000
A2103524;"Carne para desmechar de primera";2;0.000000;0.000000;28.000000
A2103524;"Carne para guisar de primera";4;0.000000;0.000000;52.000000
A2103524;"Cloro Kris 1 Lts.";1;1.000000;1.000000;14.250000
A2103524;"Coca Cola 1 Lts.";1;0.000000;0.000000;11.000000
A2103524;"Coca Cola 1,5 Lts.";1;0.000000;0.000000;15.000000
A2103524;"Coca Cola 2 Lts.";1;0.000000;0.000000;12.000000
A2103524;"Combo Quincenal";2;0.000000;0.000000;51.000000
A2103524;"Harina de maiz amarilla Pan, presentacion 1Kg.";1;0.000000;0.000000;7.000000
A2103524;"Harina de Maíz Blanca Kaly 1Kg";6;0.000000;0.000000;0.000000
A2103524;"Harina de Trigo Doña Maria 1Kg";1;1.000000;1.000000;18.420000
A2103524;"Harina de Trigo Dulce Mar Todo Uso 1Kg";1;1.000000;1.000000;18.420000
A2103524;"Harina de Trigo Ronco Todo Uso 1Kg";2;1.000000;2.000000;40.660000
A2103524;"Harina PAN de Maíz Blanca 1kg";18;0.000000;0.000000;209.340000
A2103524;"Leche En Polvo Completa Dobon 400gr.";1;0.400000;0.400000;37.670000
A2103524;"Leche En Polvo Completa La Campestre900gr";4;0.900000;3.600000;457.440000
A2103524;"Margarina Mavesa 500gr";1;1.000000;1.000000;24.640000
