id_product;reference;price;id_shop_default;is_virtual;name;link_rewrite;active;shopname;id_image;name_category;price_final;nb_downloadable;sav_quantity;badge_danger;description_short;description;minimal_quantity;id_tax_rules_group;id_manufacturer;location;low_stock_threshold;associated_file;available_now;available_later;available_date;unit_price_ratio;price_float;on_sale;meta_title;meta_description;redirect_type;visibility;condition;isbn;ean13;upc;low_stock_alert;show_price;online_only;show_condition;width;height;depth;weight;available_for_order;wholesale_price;additional_delivery_times;delivery_in_stock;delivery_out_stock;additional_shipping_cost;booking_type
1;AV0066;0.000000;1;0;"Harina de Maiz Amarilla Pan 1Kg.";harina-de-maiz-amarilla-pan-presentacion-1kg;0;"Inversiones RPZ";1;Alimentos;0;;1000;0;;;1;0;3;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
2;AV0065;10.960000;1;0;"Arroz Santoni Excelente 1Kg.";arroz-blanco-entero-presentacion-1kg;1;"Inversiones RPZ";2;Alimentos;0;;1000;0;;"<p>Arroz Santoni Excelente1Kg.</p>";1;0;0;;;;;;0000-00-00;0.000000;10.960000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
3;AV0064;11.500000;1;0;"Arroz Agua Blanca 1Kg.";arroz-blanco-entero-presentacion-1kg;1;"Inversiones RPZ";3;Alimentos;0;;1000;0;;"<p>Arroz Agua Blanca 1Kg.</p>";1;0;0;;;;;;0000-00-00;0.000000;11.500000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
4;AV0063;10.960000;1;0;"Arroz Mary Tradicional 1Kg.";arroz-blanco-entero-presentacion-1kg;1;"Inversiones RPZ";126;Alimentos;0;;1000;0;;"<p>Arroz Mary Tradicional 1Kg.</p>";1;0;0;;;;;;0000-00-00;0.000000;10.960000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
7;AV0062;14.240000;1;0;"Azucar Doce Dia 1Kg.";azucar-blanca-presentacion-1kg;1;"Inversiones RPZ";128;Inicio;0;;1000;0;;"<p>Azúcar Doce Dia 1Kg.</p>";1;0;0;;;;;;0000-00-00;0.000000;14.240000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
8;AV0061;13.470000;1;0;"Azucar Maite Refinada 1Kg.";azucar-blanca-presentacion-1kg;1;"Inversiones RPZ";8;Inicio;0;;1000;0;;"<p>Azúcar Maite Refinada 1Kg.</p>";1;0;0;;;;;;0000-00-00;0.000000;13.470000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
18;AG0011;0.000000;1;0;"Caraotas Negras Mi Chacha 1Kg.";caraotas-negras-presentacion-1kg;0;"Inversiones RPZ";18;Inicio;0;;1000;0;;"<p>Caraotas Negras Mi Chacha 1Kg.</p>";1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
19;;0.000000;1;0;"Harina de Trigo Leudante Dulce Mar 1Kg.";harina-de-trigo-leudante-presentacion-1kgg;0;"Inversiones RPZ";19;Víveres;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
20;;0.000000;1;0;"Harina de Trigo Leudante Mary 1Kg.";harina-de-trigo-leudante-presentacion-1kgg;0;"Inversiones RPZ";20;Víveres;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
21;;0.000000;1;0;"Leche en polvo sin gluten, presentacion 200g";leche-en-polvo-sin-gluten-presentacion-200g;0;"Inversiones RPZ";21;Inicio;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;0.200000;1;0.000000;1;;;0.000000;
22;;0.000000;1;0;"Leche en polvo completa, presentacion 1Kg.g";leche-en-polvo-completa-presentacion-1kgg;0;"Inversiones RPZ";22;Víveres;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
23;;0.000000;1;0;"Leche en polvo completa, presentacion 500g";leche-en-polvo-completa-presentacion-500g;0;"Inversiones RPZ";23;Inicio;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;0.500000;1;0.000000;1;;;0.000000;
24;;0.000000;1;0;"Leche en polvo completa, presentacion 900g";leche-en-polvo-completa-presentacion-900g;0;"Inversiones RPZ";24;Inicio;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;0.900000;1;0.000000;1;;;0.000000;
25;AG0010;0.000000;1;0;"lentejas, presentacion de 400g";lentejas-presentacion-de-400g;0;"Inversiones RPZ";25;Víveres;0;;1000;0;;;1;0;0;;;;;;0000-00-00;0.000000;0.000000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;0.400000;1;0.000000;1;;;0.000000;
26;AV0060;24.640000;1;0;"Margarina Mavesa 500gr";mantequilla-presentacion-de-1kg;1;"Inversiones RPZ";26;Alimentos;0;;1000;0;;"<p>Margarina Mavesa 500gr</p>";1;0;0;;;;;;0000-00-00;0.000000;24.640000;0;;;404;both;new;;;;0;1;0;0;0.000000;0.000000;0.000000;1.000000;1;0.000000;1;;;0.000000;
