id_product;active;Name;"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";Unity;"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";image_url;image_url2;"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";Cond;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock";ID;"Action when out of stock";"Depends on stock";Warehouse
1;0;"Harina de maiz amarilla Pan, presentacion 1Kg.";"Alimentos,Harinas de Maiz,Víveres";0.000000;0;0.000000;0;;;;;AV0066;;;Polar;;;0.000000;0.000000;0.000000;0.000000;1.000000;969;1;both;0.000000;;0.000000;;;;;;;harina-de-maiz-amarilla-pan-presentacion-1kg;;;1;;"2022-11-02 15:11:32";1;https://inversionesrpz.com/img/p/1/1.jpg;;0;"Peso:1 Kg.:0,Peso:1:0,Presentación:Solido:0";0;new;0;0;0;2;1;;;
2;0;"Arroz blanco entero, presentacion 1Kg.";Alimentos,Arroz,Víveres;0.000000;0;0.000000;0;;;;;AV0065;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;1000;1;both;0.000000;;0.000000;;;;;;;arroz-blanco-entero-presentacion-1kg;;;1;;"2022-11-02 15:11:32";1;https://inversionesrpz.com/img/p/2/2.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
3;1;"Arroz blanco entero, presentacion 1Kg.";Alimentos,Arroz,Víveres;42.810000;0;0.000000;0;;;;;AV0064;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;988;1;both;0.000000;;0.000000;;;;;;;arroz-blanco-entero-presentacion-1kg;;;1;;"2022-11-02 15:11:32";1;https://inversionesrpz.com/img/p/3/3.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
4;1;"Arroz blanco entero, presentacion 1Kg.";Alimentos,Arroz,Víveres;41.060000;0;0.000000;0;;;;;AV0063;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;987;1;both;0.000000;;0.000000;;;;;;;arroz-blanco-entero-presentacion-1kg;;;1;;"2022-11-02 15:11:32";1;https://inversionesrpz.com/img/p/1/2/6/126.jpg;https://inversionesrpz.com/img/p/1/2/6/126.jpg;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
5;1;"CACAO POLVO DAMASCO 200GR";Alimentos,Home,Víveres;72.640000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;cacao-polvo-damasco-200gr;;;1;;"2023-10-31 14:59:05";1;https://inversionesrpz.com/img/p/1/1/1/7/1117.jpg;https://inversionesrpz.com/img/p/1/1/3/7/1137.jpg;0;;0;new;0;0;0;2;1;;;
6;1;"CAFE EL PEÑON 250GR";Alimentos,Home,Víveres;77.340000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;cafe-el-penon-250gr;;;1;;"2023-10-31 14:59:05";1;https://inversionesrpz.com/img/p/1/1/5/7/1157.jpg;;0;;0;new;0;0;0;2;1;;;
7;0;"Azúcar blanca, presentacion 1Kg.";Alimentos,Home;0.000000;0;0.000000;0;;;;;AV0062;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;993;1;both;0.000000;;0.000000;;;;;;;azucar-blanca-presentacion-1kg;;;1;;"2022-11-02 15:11:35";1;https://inversionesrpz.com/img/p/1/2/8/128.jpg;https://inversionesrpz.com/img/p/1/2/8/128.jpg;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
8;0;"Azúcar blanca, presentacion 1Kg.";Alimentos,Home;0.000000;0;0.000000;0;;;;;AV0061;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;1000;1;both;0.000000;;0.000000;;;;;;;azucar-blanca-presentacion-1kg;;;1;;"2022-11-02 15:11:35";1;https://inversionesrpz.com/img/p/8/8.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
9;1;"CAFE EL PEÑON ESPRESO 500GR";Alimentos,Home,Víveres;154.690000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;cafe-el-penon-espreso-500gr;;;1;;"2023-10-31 14:59:05";1;https://inversionesrpz.com/img/p/1/1/6/0/1160.jpg;;0;;0;new;0;0;0;2;1;;;
10;1;"CAFE EL PEÑON GOURM 250G";Alimentos,Home,Víveres;94.160000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;cafe-el-penon-gourm-250g;;;1;;"2023-10-31 14:59:05";1;https://inversionesrpz.com/img/p/1/1/6/1/1161.jpg;;0;;0;new;0;0;0;2;1;;;
