Product ID;Image;Name;Reference;Category;Price (tax excl.);Price (tax incl.);Quantity;Status;Position;
1;https://inversionesrpz.com/imagenes/harinapan-amarilla1k.png;Harina de maiz amarilla Pan, presentacion 1Kg.;;Víveres;12,00;0;5000;1;;
2;https://inversionesrpz.com/imagenes/arroz-santoni.jpeg;Arroz blanco entero, presentacion 1Kg.;;Víveres;11,00;0;5000;1;;
3;https://inversionesrpz.com/imagenes/arroz-aguablanca.jpg;Arroz blanco entero, presentacion 1Kg.;;Víveres;8,50;0;5000;1;;
4;https://inversionesrpz.com/imagenes/arroz-marysupeior.png;Arroz blanco entero, presentacion 1Kg.;;Víveres;13,00;0;5000;1;;
5;https://inversionesrpz.com/imagenes/arroz-maryesmeraldapremium.png;Arroz blanco entero, presentacion 1Kg.;;Víveres;11,00;0;5000;1;;
6;https://inversionesrpz.com/imagenes/harinademaiz.kaly1k.jpg;Harina de maiz precocida Kaly, presentacion 1Kg.;;Víveres;12,00;0;5000;1;;
7;https://inversionesrpz.com/imagenes/azucar-docedia.png;Azúcar blanca, presentacion 1Kg.;;Víveres;9,00;0;5000;1;;
8;https://inversionesrpz.com/imagenes/azucar-maite.png;Azúcar blanca, presentacion 1Kg.;;Víveres;11,00;0;5000;1;;
9;https://inversionesrpz.com/imagenes/cafe-amanecer100g.png;Café molido, presentacion 100g;;Víveres;10,00;0;5000;1;;
10;https://inversionesrpz.com/imagenes/cafe-amanecer200g.png;Café molido, presentacion 200g;;Víveres;14,00;0;5000;1;;
11;https://inversionesrpz.com/imagenes/cafe-amanecer250g.png;Café molido, presentacion 250g;;Víveres;9,00;0;5000;1;;
12;https://inversionesrpz.com/imagenes/cafe-amanecer500g.png;Café molido, presentacion 500g;;Víveres;13,00;0;5000;1;;
13;https://inversionesrpz.com/imagenes/cafe-brasil100g.png;Café molido, presentacion 100g;;Víveres;12,00;0;5000;1;;
14;https://inversionesrpz.com/imagenes/cafe-brasil200g.png;Café molido, presentacion 200g;;Víveres;9,00;0;5000;1;;
15;https://inversionesrpz.com/imagenes/cafe-brasil500g.png;Café molido, presentacion 500g;;Víveres;14,00;0;5000;1;;
16;https://inversionesrpz.com/imagenes/cafe-famadeamerica100g.png;Café molido, presentacion 100g;;Víveres;10,00;0;5000;1;;
17;https://inversionesrpz.com/imagenes/cafe-madrid100g.png;Café molido, presentacion 100g;;Víveres;12,00;0;5000;1;;
18;https://inversionesrpz.com/imagenes/caraotas-michacha1k.png;Caraotas negras, presentacion 1Kg.;;Víveres;12,00;0;5000;1;;
19;https://inversionesrpz.com/imagenes/harinadetrigo-dulcemarleudante.png;Harina de trigo leudante, presentacion 1Kg.g;;Víveres;9,00;0;5000;1;;
