Product ID; Precio (imp. excl.) ;Precio (imp. incl.);Cantidad
240; 0.000000 ;;5000
239; 0.000000 ;;5000
238;5,25;52,44;5000
237;2,85;28,47;5000
236;4,5;44,95;5000
235;3;29,97;5000
234;4,8;47,95;5000
233;3,3;32,96;5000
231; 0.000000 ;;5000
230; 0.000000 ;;5000
229;1,1;10,99;5000
228;1,4;13,98;5000
227; 0.000000 ;;5000
226; 0.000000 ;;5000
225; 0.000000 ;;5000
224; 0.000000 ;;5000
223; 0.000000 ;;5000
222; 0.000000 ;;5000
221; 0.000000 ;;5000
220; 0.000000 ;;5000
218; 0.000000 ;;5000
217; 0.000000 ;;5000
215; 0.000000 ;;5000
214;1,05;10,49;5000
213;2;19,98;5000
212;2,8;27,97;5000
211;1,4;13,98;5000
210;3,6;35,96;5000
209; 0.000000 ;;5000
207;4,8;47,95;5000
206;1,4;13,98;5000
205;0,7;6,99;5000
204;1,75;17,48;5000
203;1,7;16,98;5000
202;2;19,98;5000
201;1,9;18,98;5000
199; 0.000000 ;;5000
197;1,5;14,98;5000
196;1,1;10,99;5000
195;8,8;87,9;5000
194;8,8;87,9;5000
192;5,4;53,94;5000
190;9;89,9;5000
188;3;29,97;5000
187; 0.000000 ;;5000
186;1,25;12,49;5000
185;2,55;25,47;5000
184;1,55;15,48;5000
182; 0.000000 ;;5000
181;1,45;14,48;5000
180;1,6;15,98;5000
179; 0.000000 ;;5000
177; 0.000000 ;;5000
176; 0.000000 ;;5000
175;1,6;15,98;5000
174;0,75;7,49;5000
173;0,8;7,99;5000
172;9,5;94,89;5000
171;4,7;46,95;5000
169; 0.000000 ;;5000
168;5,45;54,44;5000
167;2,7;26,97;5000
166;2,1;20,98;5000
165;1;9,99;5000
164;5,5;54,94;5000
163;2,9;28,97;5000
161;1,2;11,99;5000
160; 0.000000 ;;5000
159; 0.000000 ;;5000
158;2,1;20,98;5000
156;6,1;60,93;5000
155;2,45;24,47;5000
153;1,3;12,99;5000
152;6;59,93;5000
150;2,6;25,97;5000
148; 0.000000 ;;5000
147;2,4;23,97;5000
146;1,25;12,49;5000
144;2,1;20,98;5000
143; 0.000000 ;;5000
141;1,4;13,98;5000
140;1,35;13,48;5000
139;1,55;15,48;5000
137;2,4;23,97;5000
135;1,15;11,49;5000
134;1;9,99;5000
133;1;9,99;5000
132;1,85;18,48;5000
131;1,1;10,99;5000
130;1,5;14,98;5000
129; 0.000000 ;;5000
128; 0.000000 ;;5000
127; 0.000000 ;;5000
126;3;29,97;5000
124;2,25;22,47;5000
123;2,44;24,37;5000
122;5;49,94;5000
121;1,75;17,48;5000
120;1,6;15,98;5000
119;1,45;14,48;5000
118;1,45;14,48;5000
117;1,45;14,48;5000
116;1,2;11,99;5000
115; 0.000000 ;;5000
114;1,35;13,48;5000
109; 0.000000 ;;5000
107; 0.000000 ;;5000
106;1,65;16,48;5000
105; 0.000000 ;;5000
104; 0.000000 ;;5000
103;0,85;8,49;5000
102; 0.000000 ;;5000
101; 0.000000 ;;5000
100; 0.000000 ;;5000
99; 0.000000 ;;5000
98;1,3;12,99;5000
97; 0.000000 ;;5000
96; 0.000000 ;;5000
95; 0.000000 ;;5000
94; 0.000000 ;;5000
93; 0.000000 ;;5000
92; 0.000000 ;;5000
91; 0.000000 ;;5000
90; 0.000000 ;;5000
89; 0.000000 ;;5000
88; 0.000000 ;;5000
87; 0.000000 ;;5000
86; 0.000000 ;;5000
85; 0.000000 ;;5000
84; 0.000000 ;;5000
83; 0.000000 ;;5000
82; 0.000000 ;;5000
81; 0.000000 ;;5000
80; 0.000000 ;;5000
79; 0.000000 ;;5000
78; 0.000000 ;;5000
77; 0.000000 ;;5000
76; 0.000000 ;;5000
75; 0.000000 ;;5000
74; 0.000000 ;;5000
73; 0.000000 ;;5000
72; 0.000000 ;;5000
71; 0.000000 ;;5000
70; 0.000000 ;;5000
69; 0.000000 ;;5000
68; 0.000000 ;;5000
67; 0.000000 ;;5000
66; 0.000000 ;;5000
65; 0.000000 ;;5000
64; 0.000000 ;;5000
63; 0.000000 ;;5000
62; 0.000000 ;;5000
61; 0.000000 ;;5000
60; 0.000000 ;;5000
59; 0.000000 ;;5000
58; 0.000000 ;;5000
57; 0.000000 ;;5000
56; 0.000000 ;;5000
55; 0.000000 ;;5000
54; 0.000000 ;;5000
47; 0.000000 ;;5000
46; 0.000000 ;;5000
45; 0.000000 ;;5000
44; 0.000000 ;;5000
43; 0.000000 ;;5000
42; 0.000000 ;;5000
41; 0.000000 ;;5000
40; 0.000000 ;;5000
33; 0.000000 ;;5000
32;1,75;17,48;5000
31;1,85;18,48;5000
30; 0.000000 ;;5000
29;2,1;20,98;5000
28;1,15;11,49;5000
27;1,25;12,49;5000
26;2,25;22,47;5000
25; 0.000000 ;;5000
24; 0.000000 ;;5000
23; 0.000000 ;;5000
22; 0.000000 ;;5000
21; 0.000000 ;;5000
20; 0.000000 ;;5000
19; 0.000000 ;;5000
18; 0.000000 ;;5000
8; 0.000000 ;;5000
7; 0.000000 ;;5000
4;1;9,99;5000
3;1,05;10,49;5000
2;1;9,99;5000
1; 0.000000 ;;5000
