Product ID;Precio (imp. excl.)
240;126,67
239;
238;52,44
237;28,47
236;44,95
235;29,97
234;47,95
233;32,96
231;
230;
229;10,99
228;13,98
227;
226;
225;
224;
223;
222;
221;
220;
218;
217;
215;
214;10,49
213;19,98
212;27,97
211;13,98
210;35,96
209;
207;47,95
206;13,98
205;6,99
204;17,48
203;16,98
202;19,98
201;18,98
199;
197;14,98
196;10,99
195;87,9
194;87,9
192;53,94
190;89,9
188;29,97
187;
186;12,49
185;25,47
184;15,48
182;
181;14,48
180;15,98
179;
177;
176;
175;15,98
174;7,49
173;7,99
172;94,89
171;46,95
169;
168;54,44
167;26,97
166;20,98
165;9,99
164;54,94
163;28,97
161;11,99
160;
159;
158;20,98
156;60,93
155;24,47
153;12,99
152;59,93
150;25,97
148;
147;23,97
146;12,49
144;20,98
143;
141;13,98
140;13,48
139;15,48
137;23,97
135;11,49
134;9,99
133;9,99
132;18,48
131;10,99
130;14,98
129;
128;
127;
126;29,97
124;22,47
123;24,37
122;49,94
121;17,48
120;15,98
119;14,48
118;14,48
117;14,48
116;11,99
115;
114;13,48
109;
107;
106;16,48
105;
104;
103;8,49
102;
101;
100;
99;
98;12,99
97;
96;
95;
94;
93;
92;
91;
90;
89;
88;
87;
86;
85;
84;
83;
82;
81;
80;
79;
78;
77;
76;
75;
74;
73;
72;
71;
70;
69;
68;
67;
66;
65;
64;
63;
62;
61;
60;
59;
58;
57;
56;
55;
54;
47;
46;
45;
44;
43;
42;
41;
40;
33;
32;17,48
31;18,48
30;
29;20,98
28;11,49
27;12,49
26;22,47
25;
24;
23;
22;
21;
20;
19;
18;
8;
7;
4;9,99
3;10,49
2;9,99
1;
