Product ID;Imagen;Nombre;Referencia;Categoría;Precio (imp. excl.);Precio (imp. incl.);Cantidad;Estado;Posición;viveres;proteinas;enlatados;Cereales;Granos;Lacteos;Salsas;Bebidas
444;https://inversionesrpz.com/261/jamon-endiablado-plumrose-110gr.jpg;Jamón Endiablado Plumrose 110gr;;Inicio;0.000000;0;0;1;;AE0001;;;;;;;
443;https://inversionesrpz.com/260/jamon-endiablado-plumrose-60gr.jpg;Jamón Endiablado Plumrose 60gr;;Inicio;0.000000;0;0;1;;AE0002;;;;;;;
442;https://inversionesrpz.com/259/crema-de-arroz-santoni-400gr.jpg;Crema de Arroz Santoni 400gr;;Inicio;0.000000;0;0;1;;AC0001;;;;;;;
441;https://inversionesrpz.com/258/crema-de-arroz-primor-pote-900gr.jpg;Crema De Arroz Primor Pote 900gr;;Inicio;0.000000;0;0;1;;AC0002;;;;;;;
440;https://inversionesrpz.com/257/crema-de-arroz-primor-pote-450gr.jpg;Crema De Arroz Primor Pote 450gr;;Inicio;0.000000;0;0;1;;AC0003;;;;;;;
438;https://inversionesrpz.com/256/compota-natulac-186gr.jpg;Compota Natulac 186gr;;Inicio;0.000000;0;0;1;;AV0001;;;;;;;
437;https://inversionesrpz.com/255/caraotas-venela-blancas-500gr.jpg;Caraotas Venela Blancas 500gr;;Inicio;0.000000;0;0;1;;AG0001;;;;;;;
436;https://inversionesrpz.com/254/caraotas-alvarigua-500gr.jpg;Caraotas Alvarigua 500gr;;Inicio;0.000000;0;0;1;;AG0002;;;;;;;
435;https://inversionesrpz.com/253/aceite-vegetal-ideal-400ml.jpg;Aceite Vegetal Ideal 400ml;;Inicio;0.000000;0;0;1;;AV0002;;;;;;;
240;https://inversionesrpz.com/252/toddy-2kg.jpg;Toddy 2kg.;;Alimentos;126.670.000;146.94;5000;0;;AV0003;;;;;;;
239;https://inversionesrpz.com/251/toddy-1kg.jpg;Toddy 1kg;;Inicio;0.000000;0;5000;0;;AV0004;;;;;;;
238;https://inversionesrpz.com/250/toddy-400gr.jpg;Toddy 400gr;;Inicio;52.440.000;60.83;5000;0;;AV0005;;;;;;;
237;https://inversionesrpz.com/249/toddy-200gr.jpg;Toddy 200gr;;Inicio;28.470.000;33.03;5000;0;;AV0006;;;;;;;
236;https://inversionesrpz.com/248/rikesa-tocineta-300gr.jpg;Rikesa Tocineta 300gr;;Inicio;44.950.000;52.14;5000;0;;AL0001;;;;;;;
235;https://inversionesrpz.com/247/rikesa-cheedar-200gr.jpg;Rikesa Cheedar 200gr;;Inicio;29.970.000;34.77;5000;0;;AL0002;;;;;;;
234;https://inversionesrpz.com/246/dalvito-300gr.jpg;Dalvito 300gr;;Inicio;47.950.000;55.62;5000;0;;AL0003;;;;;;;
233;https://inversionesrpz.com/245/dalvito-200gr.jpg;Dalvito 200gr;;Inicio;32.960.000;38.23;5000;0;;AL0004;;;;;;;
231;https://inversionesrpz.com/244/pasta-de-tomate-coma-3850kg.jpg;Pasta de Tomate COMA 3.850kg;;Inicio;0.000000;0;5000;0;;AS0001;;;;;;;
230;https://inversionesrpz.com/243/pasta-de-tomate-coma-500gr.jpg;Pasta de Tomate COMA 500gr;;Inicio;0.000000;0;5000;0;;AS0002;;;;;;;
229;https://inversionesrpz.com/242/pasta-de-tomate-coma-200gr.jpg;Pasta de Tomate COMA 200gr;;Inicio;10.990.000;12.75;5000;0;;AS0003;;;;;;;
228;https://inversionesrpz.com/241/pasticho-sindoni-250gr.jpg;Pasticho Sindoni 250gr;;Inicio;13.980.000;16.22;5000;0;;AV0007;;;;;;;
227;https://inversionesrpz.com/240/pasticho-ronco-250gr.jpg;Pasticho Ronco 250gr;;Inicio;0.000000;0;5000;0;;AV0008;;;;;;;
226;https://inversionesrpz.com/239/refresco-glup-1l.jpg;Refresco Glup 1L;;Inicio;0.000000;0;5000;0;;AB0001;;;;;;;
225;https://inversionesrpz.com/238/refresco-glup-2l.jpg;Refresco Glup 2L;;Inicio;0.000000;0;5000;0;;AB0002;;;;;;;
224;https://inversionesrpz.com/237/refresco-pepsi-15l.jpg;Refresco  Pepsi 1.5L;;Inicio;0.000000;0;5000;0;;AB0003;;;;;;;
