Product ID;Imagen;Precio (imp, incl,);;;;
1;https://inversionesrpz.com/1/harina-de-maiz-amarilla-pan-presentacion-1kg.jpg;0;;9,9887;10,8062;
2;https://inversionesrpz.com/2/arroz-blanco-entero-presentacion-1kg.jpg;9,99;10,81;0,99986987;1,030142993;10,81
3;https://inversionesrpz.com/3/arroz-blanco-entero-presentacion-1kg.jpg;10,49;11,35;0,95221163;0,098202383;11,35
4;https://inversionesrpz.com/126/arroz-blanco-entero-presentacion-1kg.jpg;9,99;10,81;0,99986987;0,009361524;10,81
7;https://inversionesrpz.com/128/azucar-blanca-presentacion-1kg.jpg;0;0,00;#¡DIV/0!;0,000892424;0,00
8;https://inversionesrpz.com/8/azucar-blanca-presentacion-1kg.jpg;0;0,00;#¡DIV/0!;8,50737E-05;0,00
18;https://inversionesrpz.com/18/caraotas-negras-presentacion-1kg.jpg;0;0,00;#¡DIV/0!;8,10999E-06;0,00
19;https://inversionesrpz.com/19/harina-de-trigo-leudante-presentacion-1kgg.jpg;0;0,00;#¡DIV/0!;7,73116E-07;0,00
20;https://inversionesrpz.com/20/harina-de-trigo-leudante-presentacion-1kgg.jpg;0;0,00;#¡DIV/0!;7,37003E-08;0,00
21;https://inversionesrpz.com/21/leche-en-polvo-sin-gluten-presentacion-200g.jpg;0;0,00;#¡DIV/0!;7,02576E-09;0,00
22;https://inversionesrpz.com/22/leche-en-polvo-completa-presentacion-1kgg.jpg;0;0,00;#¡DIV/0!;6,69758E-10;0,00
23;https://inversionesrpz.com/23/leche-en-polvo-completa-presentacion-500g.jpg;0;0,00;#¡DIV/0!;6,38473E-11;0,00
24;https://inversionesrpz.com/24/leche-en-polvo-completa-presentacion-900g.jpg;0;0,00;#¡DIV/0!;6,08649E-12;0,00
25;https://inversionesrpz.com/25/lentejas-presentacion-de-400g.jpg;0;0,00;#¡DIV/0!;5,80219E-13;0,00
26;https://inversionesrpz.com/26/mantequilla-presentacion-de-1kg.jpg;22,47;24,31;0,444534935;5,53116E-14;24,31
27;https://inversionesrpz.com/27/mantequilla-presentacion-de-250g.jpg;12,49;13,51;0,799735789;5,27279E-15;13,51
28;https://inversionesrpz.com/28/mantequilla-presentacion-de-250g.jpg;11,49;12,43;0,869338555;5,02649E-16;12,43
29;https://inversionesrpz.com/29/mantequilla-presentacion-de-500g.jpg;20,98;22,70;0,476105815;4,7917E-17;22,70
30;https://inversionesrpz.com/30/margarina-ligera-presentacion-de-500g.jpg;0;0,00;#¡DIV/0!;4,56788E-18;0,00
