Product ID;Precio (imp. incl.);Estado
478;0;0
476;0;0
475;0;0
474;0;0
473;0;0
472;0;0
471;0;0
470;0;0
469;0;0
468;0;0
467;0;0
466;0;0
465;0;0
464;0;0
463;0;0
462;0;0
461;0;0
460;0;0
459;0;0
458;0;0
457;0;0
456;0;0
455;0;0
454;0;0
453;0;0
452;0;0
451;0;0
450;0;0
442;0;0
436;0;0
435;0;0
240;0;0
239;0;0
231;0;0
230;0;0
227;0;0
226;0;0
225;0;0
224;0;0
223;0;0
222;0;0
221;0;0
220;0;0
218;0;0
217;0;0
215;0;0
212;0;0
211;0;0
209;0;0
199;0;0
197;0;0
186;0;0
182;0;0
181;0;0
179;0;0
177;0;0
176;0;0
173;0;0
172;0;0
171;0;0
169;0;0
168;0;0
160;0;0
159;0;0
158;0;0
152;0;0
150;0;0
148;0;0
140;0;0
137;0;0
129;0;0
128;0;0
124;0;0
120;0;0
118;0;0
117;0;0
115;0;0
109;0;0
107;0;0
106;0;0
105;0;0
104;0;0
102;0;0
101;0;0
100;0;0
99;0;0
97;0;0
96;0;0
95;0;0
94;0;0
93;0;0
89;0;0
86;0;0
85;0;0
84;0;0
83;0;0
82;0;0
81;0;0
80;0;0
79;0;0
78;0;0
77;0;0
76;0;0
75;0;0
74;0;0
73;0;0
72;0;0
71;0;0
70;0;0
69;0;0
66;0;0
64;0;0
63;0;0
62;0;0
61;0;0
60;0;0
59;0;0
55;0;0
47;0;0
46;0;0
45;0;0
44;0;0
33;0;0
30;0;0
25;0;0
24;0;0
23;0;0
22;0;0
21;0;0
20;0;0
19;0;0
18;0;0
8;0;0
2;0;0
1;0;0
122;109,59;1
479;110,88;1
207;119,35;1
234;122,25;1
88;126,35;1
236;132,61;1
238;136,36;1
192;143,36;1
164;144,62;1
156;146,37;1
232;15,48;1
174;19,77;1
116;20,02;1
252;20,41;1
247;20,45;1
190;223,93;1
195;224,68;1
103;23,27;1
196;23,91;1
194;235,94;1
133;25,02;1
4;25,02;1
270;25,87;1
90;27,02;1
134;27,27;1
3;27,41;1
241;27,52;1
114;28,02;1
214;28,1;1
257;28,27;1
131;28,27;1
438;28,77;1
253;28,77;1
146;28,77;1
135;28,77;1
275;29,02;1
258;29,52;1
165;30,31;1
272;30,46;1
143;31,29;1
264;31,53;1
68;32,03;1
7;32,03;1
219;32,28;1
274;32,78;1
28;32,78;1
250;33,26;1
243;33,28;1
260;34,03;1
187;34,03;1
205;34,4;1
141;34,53;1
228;34,74;1
267;34,78;1
263;35,03;1
58;35,03;1
184;35,78;1
256;36,28;1
130;36,96;1
180;37,03;1
119;37,28;1
27;37,28;1
266;37,53;1
153;37,53;1
246;37,78;1
144;38,53;1
56;38,78;1
139;38,87;1
273;38,97;1
98;39,53;1
437;40,53;1
440;40,71;1
166;40,81;1
201;42,28;1
92;42,28;1
91;42,28;1
57;42,78;1
121;43,35;1
249;43,79;1
203;44,79;1
202;44,79;1
31;46,54;1
204;47,79;1
443;48,54;1
248;49,29;1
32;49,79;1
255;52,54;1
268;53,04;1
132;53,54;1
213;53,79;1
251;54,54;1
155;54,54;1
242;55,04;1
29;56,3;1
41;56,55;1
26;57,55;1
147;57,8;1
276;58,32;1
444;58,48;1
254;58,8;1
161;58,8;1
265;59,63;1
245;60,3;1
271;60,8;1
163;62,05;1
167;66,04;1
244;66,3;1
185;66,3;1
261;66,55;1
206;66,55;1
175;69,56;1
441;70,81;1
208;72,31;1
87;72,81;1
127;75,06;1
188;78,56;1
237;79,56;1
54;8,51;1
481;800;1
480;800;1
210;85,07;1
123;87,57;1
126;89,57;1
269;9,76;1
229;90,07;1
65;91,17;1
235;91,32;1
40;91,32;1
233;93,07;1
262;93,32;1
67;93,63;1
259;93,83;1
