Product ID;Nombre;Precio (imp, incl,);Estado
519;Cash on Delivery Fee;0;0
518;ATUN ROBIN HOOD 175G;25,06;1
517;TOCINO 1 KG;56,32;1
513;CHULETON DE PALETA 1KG;126,73;1
510;Dr. Prueba;0;0
509;test;0;0
508;meidco;0;0
507;LIC. CHRISTOPHER TELLERIA;563,2;1
506;DRA. VANESSA PIFANO;563,2;1
505;DRA. NORMELIS SILVA;563,2;1
504;DRA. NOHEMI MELENDEZ;563,2;1
501;DRA. MAGALYS GUZMAN;563,2;1
500;DRA. GERALDINE MENDOZA;563,2;1
499;DR. SAUL VIEIRA;563,2;1
498;DR. ROGER MARTINEZ;563,2;1
497;DR. MANUEL MONTANA;563,2;1
496;DR. LUIS GUERRA;563,2;1
495;DR.  KERWING TORO;563,2;1
494;DR. JESUS VERA;563,2;1
493;DRA. FLORINDA DUQUE;563,2;1
492;DR. CHAMBERLAIN CHERUBINI;563,2;1
491;DR. ALEXANDER CARRERO;563,2;1
490;DR. CARLOS TOVAR;563,2;1
485;Dr Abelardo J. Bachour D.;563,2;1
479;pulpa de cochino 1kg.;188,68;1
451;Pescado Carite en rueda 1Kg;0;0
450;Pescado Pargo entero 1Kg;0;0
444;Jamon Endiablado Plumrose 110gr;53,79;1
443;Jamon Endiablado Plumrose 60gr;33,79;1
442;Crema de Arroz Santoni 400gr;0;0
441;Crema De Arroz Primor Pote 900gr;74,34;1
440;Crema De Arroz Primor Pote 450gr;47,88;1
438;Compota Natulac 186gr;29,57;1
437;Caraotas Blancas Venela  500gr;49,85;1
436;Caraotas Negras Alvarigua 500gr;0;0
435;Aceite Vegetal Ideal 400ml;20,28;1
276;Salsa Tartara Fritz 240 Gr.;68,71;1
275;Salsa De Tomate Coma 397 Gr.;0;0
274;Salsa De Tomate Kampist 397 Gr.;38,58;1
273;Salsa De Tomate Fergos 397 Gr.;37,73;1
272;Salsa De Tomate Fergos 198 Gr.;27,03;1
271;Salsa Aji Picante Fritz 250 Gr.;48,43;1
270;Sal Refinada Bahia 1 Kg.;12,39;1
269;Sal Refinada Delmar 1 Kg;9,86;1
268;Pepitona Margarita Picante 140 Gr.;58,29;1
267;Pasta Para Pasticho Lasagna Galo 200 Gr.;35,76;1
266;Pasta Larga Primor 500 Gr.;0;0
265;Pasta Corta Primor 1 Kg.;70,12;1
264;Pasta Corta Primor 500 Gr.;0;0
263;Pasta Allegri Espiral 1 KG;0;0
262;Mayonesa Mavesa 445 Gr.;103,91;1
261;Maizina Americana 400 Gr.;69,55;1
260;Lentejas Pantera 454 Gr.;45,33;1
259;Leche En Polvo Dobon 400 Gr.;0;0
258;Jabon Las Llaves Fragancia Bebe 160 Gr.;29,57;1
257;Jabon Azul Las Llaves 200 Gr.;0;0
256;Jabon Azul Las Llaves 250 Gr.;39,15;1
255;Guisantes En Vidro 190 Gr;0;0
254;Guisantes En Lata Pafia 400 Gr.;43,09;1
253;Esponjas Doble Uso 868;12,11;1
252;Desifectante Nivex Surtido 1 Lt;33,79;1
251;Desifectante Mistolin 828 Ml.;47,31;1
250;Crema Arroz Primor Bolsa 450 Gr.;0;0
249;Crema Dental Colgate Menta 75 Ml;0;0
248;Crema Dental Colgate Menta 100 Ml;0;0
247;Crema Dental Colgate Kids 50 Ml;31,82;1
246;Cloro Tapa Amarilla 1 Lt;0;0
245;Cloro Nevex  1 Lt;0;0
244;Cloro Nevex Ultra 1 Lt;0;0
243;Cloro King 1 Lt;19,43;1
242;Cafe molido Montaña 200 Gr.;55,76;1
241;Cafe molido Montaña 100 Gr.;27,88;1
240;Toddy 2kg.;0;0
239;Toddy 1kg;0;0
238;Toddy 400gr;156,57;1
237;Toddy 200gr;87,29;1
236;Rikesa Tocineta 300gr;0;0
235;Rikesa Cheedar 200gr;0;0
234;Dalvito 300gr;0;0
233;Dalvito 200gr;86,17;1
232;Sardina Tomate Marbonita 170 Gr.;18,3;1
231;Pasta de Tomate COMA 3.850kg;0;0
230;Pasta de Tomate COMA 500gr;0;0
229;Pasta de Tomate COMA 200gr;0;0
228;Pasticho Sindoni 250gr;0;0
227;Pasticho Ronco 250gr;0;0
226;Refresco Glup 1L;0;0
225;Refresco Glup 2L;0;0
224;Refresco  Pepsi 1.5L;0;0
223;Refresco Pepsi 2L;0;0
222;Refresco Coca Cola 2L;0;0
221;Gatorade 500ml;0;0
220;Refresco Coca Cola 1L;0;0
219;Sardina Picante Margarita 170 Gr.;0;0
218;Refresco Coca Cola 1.5L;0;0
217;Margarina La Excelencia 15kg;0;0
215;Margarina Chef Sin Sal;0;0
214;Margarina Deline 250gr;0;0
213;Margarina Deline 500gr;0;0
212;Mayonesa Fergos 445gr;85,04;1
211;Mayonesa Fergos 175gr;0;0
210;Mayonesa Kraft 445gr;101,1;1
209;Mayonesa Mavesa 3.6kg;0;0
208;Salsa Tocineta Fritz 240 Gr.;52,66;1
207;Maizina Americana 800gr;129,54;1
206;Maizina Americana 200gr;37,17;1
205;Maizina Americana 90gr;19,43;1
204;Leche Liquida Completa La Pastoreña 1L;48,43;1
203;Leche Liquida Descremada La Pastoreña 1L;47,31;1
202;Leche Liquida Completa Purisima 1L;0;0
201;Leche Liquida Descremada Purisima 1L;0;0
199;Leche En Polvo Completa Dobon 400gr.;90,68;1
197;Leche En Polvo Completa Do Bon 200gr;45,33;1
196;Leche En Polvo Completa Do Bon 120gr;28,16;1
195;Leche En Polvo Semidescremada La Campiña 900gr;0;0
194;Leche En Polvo La Campiña 900gr;0;0
192;Leche En Polvo Completa La Campestre 500gr;0;0
190;Leche En Polvo Completa La Campestre900gr;267,24;1
188;Lentejas Pantera 900gr;84,2;1
187;Lentejas Pantera 500gr;0;0
186;Lentejas Venela  500gr;0;0
185;Diablitos Under Wood 115gr;66,18;1
184;Diablitos Under Wood 54gr;36,33;1
182;Bulto de Arroz Mary;0;0
181;Pasta Vermicelli Mary 1Kg;0;0
180;Pasta Vermicelli Horizonte 1Kg;0;0
179;Pasta Vermicelli Allegri 1Kg;0;0
177;Pasta Mary Plumitas 1Kg;0;0
176;Pasta Allegri Codos 1Kg;0;0
175;Crema de Arroz Polly 450gr;0;0
174;Crema de Arroz Mary 450gr;23,09;1
173;Crema de Arroz Agua Blanca 450gr;22,25;1
172;Nestle Cerelac Sachet 900gr;0;0
171;Nestle Cerelac Sachet 400gr;0;0
169;Nestle Cerelac 100gr;0;0
168;Cafe molido Fama de America 500gr;124,19;1
167;Cafe molido Fama de America 250gr;60,82;1
166;Cafe molido Fama de America 200gr;48,72;1
165;Cafe molido Fama de America 100gr;24,22;1
164;Cafe molido Madrid 500gr;0;0
163;Cafe molido Madrid 250gr;59,13;1
161;Cafe molido Madrid 100gr;25,06;1
160;Cafe molido Flor de Arauca 250gr;0;0
159;Cafe molido Arauca 200gr;0;0
158;Cafe molido Arauca 100gr.;0;0
156;Cafe molido Amanecer 500gr;240,21;1
155;Cafe molido Amanecer 200gr;65,61;1
153;Cafe molido Amanecer 100gr;23,66;1
152;Cafe molido Brasil 500gr;0;0
150;Cafe molido Brasil 200gr;0;0
148;Cafe molido Brasil 100gr;0;0
147;Caraotas Negras Pantera  900gr;73,49;1
146;Caraotas Negras Pantera 454gr;36,6;1
144;Caraotas Rojas Venela 500gr;0;0
143;Caraotas Negras Venela 500gr;0;0
141;Azucar Refinada La Pastora 1Kg;0;0
140;Azucar Refinada Montalban 1Kg;36,33;1
139;Atun The King Of The Seas 170gr;40,55;1
137;Atun Margarita en Aceite 140gr;0;0
135;Arroz Mary Premium 1Kg;0;0
134;Arroz Mary Superior 1Kg;0;0
133;Avena en Hojuelas QUAKER 200gr;0;0
132;Avena en Hojuelas Pantera 800gr;57,45;1
131;Avena en Hojuelas Pantera 400gr;30,97;1
130;Avena en Hojuelas Don Pancho 400gr;45,06;1
129;Aceitunas Enteras Verdes Casa De Fruta 240gr;0;0
128;Aceitunas Casa De Fruta Rellenas 180gr;0;0
127;Aceite de Soya Vatel 500ml;0;0
126;Aceite de Soya Vatel 1L;85,04;1
124;Aceite de Soya Corcovado 900ml;0;0
123;Aceite de Soya Coamo  900ml;0;0
122;Aceite de Maiz  MAZEITE 1L;126,73;1
121;Harina de Trigo Ronco Leudante 1Kg;0;0
120;Harina de Trigo Ronco Todo Uso 1Kg;45,06;1
119;Harina de Trigo Doña Maria 1Kg;43,65;1
118;Harina de Trigo Dulce Mar Todo Uso 1Kg;0;0
117;Harina de Trigo Dulce Mar Leudante 1Kg;0;0
