Product ID;Nombre;Precio (imp. excl.);Estado
519;Cash on Delivery Fee;0.00;0
518;ATUN ROBIN HOOD 175G;25.50;1
517;TOCINO 1 KG;57.34;1
513;CHULETON DE PALETA 1KG;129.03;1
510;Dr. Prueba;0.00;0
509;test;0.00;0
508;meidco;0.00;0
507;LIC. CHRISTOPHER TELLERIA;573.40;1
506;DRA. VANESSA PIFANO;573.40;1
505;DRA. NORMELIS SILVA;573.40;1
504;DRA. NOHEMI MELENDEZ;573.40;1
501;DRA. MAGALYS GUZMAN;573.40;1
500;DRA. GERALDINE MENDOZA;573.40;1
499;DR. SAUL VIEIRA;573.40;1
498;DR. ROGER MARTINEZ;573.40;1
497;DR. MANUEL MONTANA;573.40;1
496;DR. LUIS GUERRA;573.40;1
495;DR.  KERWING TORO;573.40;1
494;DR. JESUS VERA;573.40;1
493;DRA. FLORINDA DUQUE;573.40;1
492;DR. CHAMBERLAIN CHERUBINI;573.40;1
491;DR. ALEXANDER CARRERO;573.40;1
490;DR. CARLOS TOVAR;573.40;1
485;Dr Abelardo J. Bachour D.;573.40;1
479;pulpa de cochino 1kg.;192.10;1
451;Pescado Carite en rueda 1Kg;0.00;0
450;Pescado Pargo entero 1Kg;0.00;0
444;Jamon Endiablado Plumrose 110gr;54.77;1
443;Jamon Endiablado Plumrose 60gr;34.40;1
442;Crema de Arroz Santoni 400gr;0.00;0
441;Crema De Arroz Primor Pote 900gr;0.00;0
440;Crema De Arroz Primor Pote 450gr;48.75;1
438;Compota Natulac 186gr;30.11;1
437;Caraotas Blancas Venela  500gr;50.76;1
436;Caraotas Negras Alvarigua 500gr;0.00;0
435;Aceite Vegetal Ideal 400ml;0.00;0
276;Salsa Tartara Fritz 240 Gr.;0.00;0
275;Salsa De Tomate Coma 397 Gr.;0.00;0
274;Salsa De Tomate Kampist 397 Gr.;39.28;1
273;Salsa De Tomate Fergos 397 Gr.;38.42;1
272;Salsa De Tomate Fergos 198 Gr.;27.52;1
271;Salsa Aji Picante Fritz 250 Gr.;0.00;0
270;Sal Refinada Bahia 1 Kg.;12.61;1
269;Sal Refinada Delmar 1 Kg;10.04;1
268;Pepitona Margarita Picante 140 Gr.;59.34;1
267;Pasta Para Pasticho Lasagna Galo 200 Gr.;36.41;1
266;Pasta Larga Primor 500 Gr.;0.00;0
265;Pasta Corta Primor 1 Kg.;71.39;1
264;Pasta Corta Primor 500 Gr.;0.00;0
263;Pasta Allegri Espiral 1 KG;0.00;0
262;Mayonesa Mavesa 445 Gr.;105.79;1
261;Maizina Americana 400 Gr.;70.81;1
260;Lentejas Pantera 454 Gr.;45.30;1
259;Leche En Polvo Dobon 400 Gr.;0.00;0
258;Jabon Las Llaves Fragancia Bebe 160 Gr.;30.11;1
257;Jabon Azul Las Llaves 200 Gr.;0.00;0
256;Jabon Azul Las Llaves 250 Gr.;39.85;1
255;Guisantes En Vidro 190 Gr;0.00;0
254;Guisantes En Lata Pafia 400 Gr.;43.87;1
253;Esponjas Doble Uso 868;12.33;1
252;Desifectante Nivex Surtido 1 Lt;34.40;1
251;Desifectante Mistolin 828 Ml.;48.17;1
250;Crema Arroz Primor Bolsa 450 Gr.;0.00;0
249;Crema Dental Colgate Menta 75 Ml;0.00;0
248;Crema Dental Colgate Menta 100 Ml;0.00;0
247;Crema Dental Colgate Kids 50 Ml;32.40;1
246;Cloro Tapa Amarilla 1 Lt;0.00;0
245;Cloro Nevex  1 Lt;0.00;0
244;Cloro Nevex Ultra 1 Lt;0.00;0
243;Cloro King 1 Lt;19.78;1
242;Cafe molido Montaña 200 Gr.;55.33;1
241;Cafe molido Montaña 100 Gr.;27.81;1
240;Toddy 2kg.;0.00;0
239;Toddy 1kg;0.00;0
238;Toddy 400gr;159.41;1
237;Toddy 200gr;88.86;1
236;Rikesa Tocineta 300gr;0.00;0
235;Rikesa Cheedar 200gr;152.52;1
234;Dalvito 300gr;0.00;0
233;Dalvito 200gr;87.73;1
232;Sardina Tomate Marbonita 170 Gr.;18.63;1
231;Pasta de Tomate COMA 3.850kg;0.00;0
230;Pasta de Tomate COMA 500gr;0.00;0
229;Pasta de Tomate COMA 200gr;0.00;0
228;Pasticho Sindoni 250gr;0.00;0
227;Pasticho Ronco 250gr;0.00;0
226;Refresco Glup 1L;0.00;0
225;Refresco Glup 2L;0.00;0
224;Refresco  Pepsi 1.5L;0.00;0
223;Refresco Pepsi 2L;0.00;0
222;Refresco Coca Cola 2L;0.00;0
221;Gatorade 500ml;0.00;0
220;Refresco Coca Cola 1L;0.00;0
219;Sardina Picante Margarita 170 Gr.;0.00;0
218;Refresco Coca Cola 1.5L;0.00;0
217;Margarina La Excelencia 15kg;0.00;0
215;Margarina Chef Sin Sal;0.00;0
214;Margarina Deline 250gr;32.97;1
213;Margarina Deline 500gr;62.79;1
212;Mayonesa Fergos 445gr;86.58;1
211;Mayonesa Fergos 175gr;0.00;0
210;Mayonesa Kraft 445gr;106.94;1
209;Mayonesa Mavesa 3.6kg;0.00;0
208;Salsa Tocineta Fritz 240 Gr.;53.61;1
207;Maizina Americana 800gr;131.88;1
206;Maizina Americana 200gr;37.84;1
205;Maizina Americana 90gr;19.78;1
204;Leche Liquida Completa La Pastoreña 1L;49.31;1
203;Leche Liquida Descremada La Pastoreña 1L;48.17;1
202;Leche Liquida Completa Purisima 1L;0.00;0
201;Leche Liquida Descremada Purisima 1L;0.00;0
199;Leche En Polvo Completa Dobon 400gr.;92.32;1
197;Leche En Polvo Completa Do Bon 200gr;46.16;1
196;Leche En Polvo Completa Do Bon 120gr;28.67;1
195;Leche En Polvo Semidescremada La Campiña 900gr;0.00;0
194;Leche En Polvo La Campiña 900gr;0.00;0
192;Leche En Polvo Completa La Campestre 500gr;0.00;0
190;Leche En Polvo Completa La Campestre900gr;272.08;1
188;Lentejas Pantera 900gr;85.73;1
187;Lentejas Pantera 500gr;0.00;0
186;Lentejas Venela  500gr;0.00;0
185;Diablitos Under Wood 115gr;67.38;1
184;Diablitos Under Wood 54gr;36.98;1
182;Bulto de Arroz Mary;0.00;0
181;Pasta Vermicelli Mary 1Kg;43.58;1
180;Pasta Vermicelli Horizonte 1Kg;0.00;0
179;Pasta Vermicelli Allegri 1Kg;0.00;0
177;Pasta Mary Plumitas 1Kg;0.00;0
176;Pasta Allegri Codos 1Kg;0.00;0
175;Crema de Arroz Polly 450gr;0.00;0
174;Crema de Arroz Mary 450gr;23.50;1
173;Crema de Arroz Agua Blanca 450gr;22.65;1
172;Nestle Cerelac Sachet 900gr;0.00;0
171;Nestle Cerelac Sachet 400gr;0.00;0
169;Nestle Cerelac 100gr;0.00;0
168;Cafe molido Fama de America 500gr;126.44;1
167;Cafe molido Fama de America 250gr;61.92;1
166;Cafe molido Fama de America 200gr;49.60;1
