Product ID;Imagen;Nombre;Referencia;Categoría;Precio (imp. excl.);activo
519;https://inversionesrpz.com//pr-codwfeeplus.jpg;Cash on Delivery Fee;COD;Inicio;0;0
518;https://inversionesrpz.com/378/atun-robin-hood-175g.jpg;ATUN ROBIN HOOD 175G;;Inicio;28.04;1
517;https://inversionesrpz.com/377/tocino-1-kg.jpg;TOCINO 1 KG;;Inicio;63.06;1
513;https://inversionesrpz.com/376/chuleton-de-paleta-1kg.jpg;CHULETON DE PALETA 1KG;;Inicio;141.91;1
510;https://inversionesrpz.com//dr-prueba.jpg;Dr. Prueba;;Inicio;0;0
509;https://inversionesrpz.com//test.jpg;test;;Inicio;0;0
508;https://inversionesrpz.com//meidco.jpg;meidco;;Inicio;0;0
507;https://inversionesrpz.com/375/lic-christopher-telleria.jpg;LIC. CHRISTOPHER TELLERIA;;Inicio;630.62;1
506;https://inversionesrpz.com/374/dra-vanessa-pifano.jpg;DRA. VANESSA PIFANO;;Inicio;630.62;1
505;https://inversionesrpz.com/373/dra-normelis-silva.jpg;DRA. NORMELIS SILVA;;Inicio;630.62;1
504;https://inversionesrpz.com/372/dra-nohemi-melendez.jpg;DRA. NOHEMI MELENDEZ;;Inicio;630.62;1
501;https://inversionesrpz.com/369/dra-magalys-guzman.jpg;DRA. MAGALYS GUZMAN;;Salud;630.62;1
500;https://inversionesrpz.com/368/dra-geraldine-mendoza.jpg;DRA. GERALDINE MENDOZA;;Inicio;630.62;1
499;https://inversionesrpz.com/367/dr-saul-vieira.jpg;DR. SAUL VIEIRA;;Inicio;630.62;1
498;https://inversionesrpz.com/366/dr-roger-martinez.jpg;DR. ROGER MARTINEZ;;Inicio;630.62;1
497;https://inversionesrpz.com/365/dr-manuel-montana.jpg;DR. MANUEL MONTANA;;Inicio;630.62;1
496;https://inversionesrpz.com/364/dr-luis-guerra.jpg;DR. LUIS GUERRA;;Inicio;630.62;1
495;https://inversionesrpz.com/363/dr-kerwing-toro.jpg;DR.  KERWING TORO;;Inicio;630.62;1
494;https://inversionesrpz.com/362/dr-jesus-vera.jpg;DR. JESUS VERA;;Inicio;630.62;1
493;https://inversionesrpz.com/361/dra-florinda-duque.jpg;DRA. FLORINDA DUQUE;;Inicio;630.62;1
492;https://inversionesrpz.com/358/dr-chamberlain-cherubini.jpg;DR. CHAMBERLAIN CHERUBINI;;Inicio;630.62;1
491;https://inversionesrpz.com/360/dr-alexander-carrero.jpg;DR. ALEXANDER CARRERO;;Inicio;630.62;1
490;https://inversionesrpz.com/355/dr-carlos-tovar.jpg;DR. CARLOS TOVAR;;Inicio;630.62;1
485;https://inversionesrpz.com/359/dr-abelardo-j-bachour-d.jpg;Dr Abelardo J. Bachour D.;;Inicio;630.62;1
479;https://inversionesrpz.com/345/pulpa-de-cerdo.jpg;pulpa de cochino 1kg.;;Inicio;211.27;1
451;https://inversionesrpz.com/309/pescado-carite-en-rueda-1kg.jpg;Pescado Carite en rueda 1Kg;;Inicio;0;0
450;https://inversionesrpz.com/308/pargo-entero-1kg.jpg;Pescado Pargo entero 1Kg;;Inicio;0;0
444;https://inversionesrpz.com/261/jamon-endiablado-plumrose-110gr.jpg;Jamon Endiablado Plumrose 110gr;AE0001;Inicio;60.24;1
443;https://inversionesrpz.com/260/jamon-endiablado-plumrose-60gr.jpg;Jamon Endiablado Plumrose 60gr;AE0002;Inicio;37.83;1
442;https://inversionesrpz.com/259/crema-de-arroz-santoni-400gr.jpg;Crema de Arroz Santoni 400gr;AC0001;Inicio;0;0
441;https://inversionesrpz.com/258/crema-de-arroz-primor-pote-900gr.jpg;Crema De Arroz Primor Pote 900gr;AC0002;Inicio;0;0
440;https://inversionesrpz.com/257/crema-de-arroz-primor-pote-450gr.jpg;Crema De Arroz Primor Pote 450gr;AC0003;Inicio;53.61;1
438;https://inversionesrpz.com/256/compota-natulac-186gr.jpg;Compota Natulac 186gr;AV0001;Inicio;33.11;1
437;https://inversionesrpz.com/255/caraotas-venela-blancas-500gr.jpg;Caraotas Blancas Venela  500gr;AG0001;Inicio;55.83;1
436;https://inversionesrpz.com/254/caraotas-alvarigua-500gr.jpg;Caraotas Negras Alvarigua 500gr;AG0002;Inicio;0;0
435;https://inversionesrpz.com/253/aceite-vegetal-ideal-400ml.jpg;Aceite Vegetal Ideal 400ml;AV0002;Inicio;0;0
276;https://inversionesrpz.com/306/salsa-tartara-fritz-240-gr.jpg;Salsa Tartara Fritz 240 Gr.;;Víveres;0;0
275;https://inversionesrpz.com/305/salsa-de-tomate-coma-397-gr.jpg;Salsa De Tomate Coma 397 Gr.;;Víveres;0;0
274;https://inversionesrpz.com/304/salsa-de-tomate-kampist-397-gr.jpg;Salsa De Tomate Kampist 397 Gr.;;Víveres;43.2;1
273;https://inversionesrpz.com/303/salsa-de-tomate-fergos-397-gr.jpg;Salsa De Tomate Fergos 397 Gr.;;Víveres;42.25;1
272;https://inversionesrpz.com/302/salsa-de-tomate-fergos-198-gr.jpg;Salsa De Tomate Fergos 198 Gr.;;Víveres;30.27;1
271;https://inversionesrpz.com/301/salsa-aji-picante-fritz-250-gr.jpg;Salsa Aji Picante Fritz 250 Gr.;;Víveres;0;0
270;https://inversionesrpz.com/351/sal-bahia-1-kg.jpg;Sal Refinada Bahia 1 Kg.;;Inicio;13.87;1
269;https://inversionesrpz.com/299/sal-delmar-1-kg.jpg;Sal Refinada Delmar 1 Kg;;Inicio;11.04;1
268;https://inversionesrpz.com/298/pepitona-margarita-picante-140-gr.jpg;Pepitona Margarita Picante 140 Gr.;;Víveres;65.26;1
267;https://inversionesrpz.com/297/pasta-para-pasticho-lasagna-galo-200-gr.jpg;Pasta Para Pasticho Lasagna Galo 200 Gr.;;Víveres;40.04;1
266;https://inversionesrpz.com/296/pasta-larga-primor-500-gr.jpg;Pasta Larga Primor 500 Gr.;;Víveres;0;0
265;https://inversionesrpz.com/295/pasta-corta-primor-1-kg.jpg;Pasta Corta Primor 1 Kg.;;Víveres;78.51;1
264;https://inversionesrpz.com/294/pasta-corta-primor-500-gr.jpg;Pasta Corta Primor 500 Gr.;;Víveres;0;0
263;https://inversionesrpz.com/293/pasta-allegri-espiral-1-kg.jpg;Pasta Allegri Espiral 1 KG;;Víveres;0;0
262;https://inversionesrpz.com/292/mayonesa-mavesa-445-gr.jpg;Mayonesa Mavesa 445 Gr.;;Víveres;116.35;1
261;https://inversionesrpz.com/291/maizina-americana-400-gr.jpg;Maizina Americana 400 Gr.;;Inicio;77.88;1
260;https://inversionesrpz.com/290/lentejas-pantera-454-gr.jpg;Lentejas Pantera 454 Gr.;;Víveres;49.82;1
259;https://inversionesrpz.com/262/leche-en-polvo-dobon-400-gr.jpg;Leche En Polvo Dobon 400 Gr.;;Víveres;0;0
258;https://inversionesrpz.com/289/jabon-las-llaves-fragancia-bebe-160-gr.jpg;Jabon Las Llaves Fragancia Bebe 160 Gr.;;Higiene;33.11;1
257;https://inversionesrpz.com/288/jabon-azul-las-llaves-200-gr.jpg;Jabon Azul Las Llaves 200 Gr.;;Higiene;0;0
256;https://inversionesrpz.com//jabon-azul-las-llaves-250-gr.jpg;Jabon Azul Las Llaves 250 Gr.;;Higiene;43.83;1
255;https://inversionesrpz.com/287/guisantes-en-vidro-190-gr.jpg;Guisantes En Vidro 190 Gr;;Víveres;0;0
254;https://inversionesrpz.com/286/guisantes-en-lata-pafia-400-gr.jpg;Guisantes En Lata Pafia 400 Gr.;;Víveres;48.25;1
253;https://inversionesrpz.com/285/esponjas-doble-uso-868.jpg;Esponjas Doble Uso 868;;Higiene;13.56;1
252;https://inversionesrpz.com//desifectante-nivex-surtido-1-lt.jpg;Desifectante Nivex Surtido 1 Lt;;Higiene;37.83;1
251;https://inversionesrpz.com/284/desifectante-mistolin-828-ml.jpg;Desifectante Mistolin 828 Ml.;;Higiene;52.98;1
250;https://inversionesrpz.com/283/crema-arroz-primor-bolsa-450-gr.jpg;Crema Arroz Primor Bolsa 450 Gr.;;Higiene;0;0
249;https://inversionesrpz.com/282/crema-dental-colgate-menta-75-ml.jpg;Crema Dental Colgate Menta 75 Ml;;Higiene;0;0
248;https://inversionesrpz.com/281/crema-dental-colgate-menta-100-ml.jpg;Crema Dental Colgate Menta 100 Ml;;Higiene;0;0
247;https://inversionesrpz.com/280/crema-dental-colgate-kids-50-ml.jpg;Crema Dental Colgate Kids 50 Ml;;Higiene;35.63;1
246;https://inversionesrpz.com/279/cloro-tapa-amarilla-1-lt.jpg;Cloro Tapa Amarilla 1 Lt;;Higiene;0;0
245;https://inversionesrpz.com//cloro-nevex-1-lt.jpg;Cloro Nevex  1 Lt;;Higiene;0;0
244;https://inversionesrpz.com/278/cloro-nevex-ultra-1-lt.jpg;Cloro Nevex Ultra 1 Lt;;Higiene;0;0
243;https://inversionesrpz.com/277/cloro-king-1-lt.jpg;Cloro King 1 Lt;;Higiene;21.75;1
242;https://inversionesrpz.com//cafe-montana-200-gr.jpg;Cafe molido Montaña 200 Gr.;;Inicio;60.85;1
241;https://inversionesrpz.com//cafe-montana-100-gr.jpg;Cafe molido Montaña 100 Gr.;;Inicio;30.59;1
240;https://inversionesrpz.com/252/toddy-2kg.jpg;Toddy 2kg.;AV0003;Alimentos;0;0
239;https://inversionesrpz.com/251/toddy-1kg.jpg;Toddy 1kg;AV0004;Inicio;0;0
238;https://inversionesrpz.com/250/toddy-400gr.jpg;Toddy 400gr;AV0005;Inicio;175.32;1
237;https://inversionesrpz.com/249/toddy-200gr.jpg;Toddy 200gr;AV0006;Inicio;97.73;1
236;https://inversionesrpz.com/248/rikesa-tocineta-300gr.jpg;Rikesa Tocineta 300gr;AL0001;Inicio;0;0
235;https://inversionesrpz.com/247/rikesa-cheedar-200gr.jpg;Rikesa Cheedar 200gr;AL0002;Inicio;167.74;1
234;https://inversionesrpz.com/246/dalvito-300gr.jpg;Dalvito 300gr;AL0003;Inicio;0;0
233;https://inversionesrpz.com/245/dalvito-200gr.jpg;Dalvito 200gr;AL0004;Inicio;96.48;1
232;https://inversionesrpz.com/276/sardina-tomate-marbonita-170-gr.jpg;Sardina Tomate Marbonita 170 Gr.;;Víveres;20.49;1
231;https://inversionesrpz.com/244/pasta-de-tomate-coma-3850kg.jpg;Pasta de Tomate COMA 3.850kg;AS0001;Inicio;0;0
230;https://inversionesrpz.com/243/pasta-de-tomate-coma-500gr.jpg;Pasta de Tomate COMA 500gr;AS0002;Inicio;0;0
229;https://inversionesrpz.com/242/pasta-de-tomate-coma-200gr.jpg;Pasta de Tomate COMA 200gr;AS0003;Inicio;0;0
228;https://inversionesrpz.com/241/pasticho-sindoni-250gr.jpg;Pasticho Sindoni 250gr;AV0007;Inicio;0;0
227;https://inversionesrpz.com/240/pasticho-ronco-250gr.jpg;Pasticho Ronco 250gr;AV0008;Inicio;0;0
226;https://inversionesrpz.com/239/refresco-glup-1l.jpg;Refresco Glup 1L;AB0001;Inicio;0;0
225;https://inversionesrpz.com/238/refresco-glup-2l.jpg;Refresco Glup 2L;AB0002;Inicio;0;0
