Product ID;Precio (imp. excl.);Estado
519;0;0
518;28.8627;1
517;64.86;1
513;145.935;1
510;0;0
509;0;0
508;0;0
507;648.9243;1
506;648.9243;1
505;648.9243;1
504;648.9243;1
501;648.9243;1
500;648.9243;1
499;648.9243;1
498;648.9243;1
497;648.9243;1
496;648.9243;1
495;648.9243;1
494;648.9243;1
493;648.9243;1
492;648.9243;1
491;648.9243;1
490;648.9243;1
485;648.9243;1
479;217.281;1
451;0;0
450;0;0
444;61.9413;1
443;38.916;1
442;0;0
441;0;0
440;55.131;1
438;34.0515;1
437;57.4011;1
436;0;0
435;0;0
276;0;0
275;0;0
274;42.8076;1
273;46.3749;1
272;30.8085;1
271;55.7796;1
270;14.2692;1
269;11.3505;1
268;67.1301;1
267;41.1861;1
266;0;0
265;80.7507;1
264;0;0
263;0;0
262;119.6667;1
261;82.0479;1
260;51.2394;1
259;0;0
258;35.0244;1
257;0;0
256;45.402;1
255;0;0
254;49.6179;1
253;13.9449;1
252;29.5113;1
251;51.2394;1
250;0;0
249;0;0
248;0;0
247;36.6459;1
246;0;0
245;0;0
244;0;0
243;22.3767;1
242;62.5899;1
241;31.4571;1
240;0;0
239;0;0
238;180.3108;1
237;100.533;1
236;0;0
235;172.5276;1
234;119.6667;1
233;85.6152;1
232;14.9178;1
231;0;0
230;0;0
229;0;0
228;0;0
227;0;0
226;0;0
225;0;0
224;0;0
223;0;0
222;0;0
221;0;0
220;0;0
219;0;0
218;0;0
217;0;0
215;0;0
214;35.673;1
213;68.103;1
212;99.5601;1
211;48.3207;1
210;116.4237;1
209;0;0
208;61.9413;1
207;149.178;1
206;44.7534;1
205;22.3767;1
204;55.7796;1
203;54.4824;1
202;52.5366;1
201;54.4824;1
199;104.4246;1
197;52.2123;1
196;32.43;1
195;0;0
194;341.8122;1
192;0;0
190;298.356;1
188;96.9657;1
187;0;0
186;0;0
185;76.2105;1
184;41.8347;1
182;0;0
181;46.6992;1
180;0;0
179;0;0
177;0;0
176;0;0
175;0;0
174;26.2683;1
173;26.2683;1
172;0;0
171;0;0
169;0;0
168;139.7733;1
167;66.8058;1
166;56.1039;1
165;27.8898;1
164;133.6116;1
163;67.1301;1
161;26.2683;1
160;0;0
159;0;0
158;0;0
156;276.6279;1
155;75.5619;1
153;27.2412;1
152;0;0
150;0;0
148;0;0
147;75.8862;1
146;41.1861;1
144;48.9693;1
143;0;0
141;0;0
140;41.8347;1
139;52.5366;1
137;0;0
135;0;0
134;0;0
133;0;0
132;63.5628;1
131;32.43;1
130;51.888;1
129;0;0
128;0;0
127;51.2394;1
126;97.9386;1
124;0;0
123;76.2105;1
122;131.9901;1
121;48.645;1
120;0;0
119;50.2665;1
118;0;0
117;0;0
116;30.8085;1
115;0;0
114;34.7001;1
109;0;0
107;0;0
106;34.0515;1
105;0;0
104;0;0
103;26.2683;1
102;0;0
101;0;0
100;0;0
99;33.7272;1
98;35.673;1
97;0;0
96;0;0
95;65.1843;1
94;130.3686;1
93;0;0
92;57.4011;1
91;0;0
90;0;0
89;28.8627;1
88;125.8284;1
87;83.0208;1
86;0;0
85;0;0
84;0;0
83;0;0
82;0;0
81;0;0
80;0;0
79;0;0
78;0;0
77;0;0
76;0;0
75;81.075;1
74;0;0
73;0;0
72;0;0
71;0;0
70;0;0
69;171.879;1
68;51.888;1
67;210.795;1
66;145.935;1
65;145.935;1
64;0;0
63;0;0
62;0;0
61;0;0
60;0;0
59;0;0
58;41.1861;1
57;62.9142;1
56;66.8058;1
55;0;0
54;9.4047;1
47;0;0
46;0;0
45;0;0
44;36.3216;1
41;0;0
40;102.8031;1
33;0;0
32;60.3198;1
31;60.3198;1
30;83.3451;1
29;73.9404;1
28;35.673;1
27;44.4291;1
26;83.6694;1
25;0;0
24;0;0
23;0;0
22;0;0
21;0;0
20;0;0
19;0;0
18;0;0
8;0;0
7;0;0
4;0;0
3;39.5646;1
2;0;0
1;0;0
