Product ID;Precio (imp. excl.);Estado;;;
519;0;0;;;
518;28.8538;1;;;
517;64.84;1;;;
513;145.89;1;;;
510;0;0;;;
509;0;0;;;
508;0;0;;;
507;648.7242;1;;;
506;648.7242;1;;;
505;648.7242;1;;;
504;648.7242;1;;;
501;648.7242;1;;;
500;648.7242;1;;;
499;648.7242;1;;;
498;648.7242;1;;;
497;648.7242;1;;;
496;648.7242;1;;;
495;648.7242;1;;;
494;648.7242;1;;;
493;648.7242;1;;;
492;648.7242;1;;;
491;648.7242;1;;;
490;648.7242;1;;;
485;648.7242;1;;;
479;217.214;1;;;
451;0;0;;;
450;0;0;;;
444;61.9222;1;;;
443;38.904;1;;;
442;0;0;;;
441;0;0;;;
440;55.114;1;;;
438;34.041;1;;;
437;57.3834;1;;;
436;0;0;;;
435;0;0;;;
276;0;0;;;
275;0;0;;;
274;42.7944;1;;;
273;46.3606;1;;;
272;30.799;1;;;
271;55.7624;1;;;
270;14.2648;1;;;
269;11.347;1;;;
268;67.1094;1;;;
267;41.1734;1;;;
266;0;0;;;
265;80.7258;1;;;
264;0;0;;;
263;0;0;;;
262;119.6298;1;;;
261;82.0226;1;;;
260;51.2236;1;;;
259;0;0;;;
258;35.0136;1;;;
257;0;0;;;
256;45.388;1;;;
255;0;0;;;
254;49.6026;1;;;
253;13.9406;1;;;
252;29.5022;1;;;
251;51.2236;1;;;
250;0;0;;;
249;0;0;;;
248;0;0;;;
247;36.6346;1;;;
246;0;0;;;
245;0;0;;;
244;0;0;;;
243;22.3698;1;;;
242;62.5706;1;;;
241;31.4474;1;;;
240;0;0;;;
239;0;0;;;
238;180.2552;1;;;
237;100.502;1;;;
236;0;0;;;
235;172.4744;1;;;
234;119.6298;1;;;
233;85.5888;1;;;
232;14.9132;1;;;
231;0;0;;;
230;0;0;;;
229;0;0;;;
228;0;0;;;
227;0;0;;;
226;0;0;;;
225;0;0;;;
224;0;0;;;
223;0;0;;;
222;0;0;;;
221;0;0;;;
220;0;0;;;
219;0;0;;;
218;0;0;;;
217;0;0;;;
215;0;0;;;
214;35.662;1;;;
213;68.082;1;;;
212;99.5294;1;;;
211;48.3058;1;;;
210;116.3878;1;;;
209;0;0;;;
208;61.9222;1;;;
207;149.132;1;;;
206;44.7396;1;;;
205;22.3698;1;;;
204;55.7624;1;;;
203;54.4656;1;;;
202;52.5204;1;;;
201;54.4656;1;;;
199;99.769308;1;;;
197;49.884654;1;;;
196;31.17790875;1;;;
195;0;0;;;
194;341.7608333;1;;;
192;0;0;;;
190;298.264;1;;;
188;96.9358;1;;;
187;0;0;;;
186;0;0;;;
185;76.187;1;;;
184;41.8218;1;;;
182;0;0;;;
181;46.6848;1;;;
180;0;0;;;
179;0;0;;;
177;0;0;;;
176;0;0;;;
175;0;0;;;
174;26.2602;1;;;
173;26.2602;1;;;
172;0;0;;;
171;0;0;;;
169;0;0;;;
168;139.7302;1;;;
167;66.7852;1;;;
166;56.0866;1;;;
165;27.8812;1;;;
164;133.5704;1;;;
163;67.1094;1;;;
161;26.2602;1;;;
160;0;0;;;
159;0;0;;;
158;0;0;;;
156;276.5426;1;;;
155;75.5386;1;;;
153;27.2328;1;;;
152;0;0;;;
150;0;0;;;
148;0;0;;;
147;75.8628;1;;;
146;41.1734;1;;;
144;48.9542;1;;;
143;0;0;;;
141;0;0;;;
140;41.8218;1;;;
139;0;0;;;
137;0;0;;;
135;0;0;;;
134;0;0;;;
133;0;0;;;
132;63.5432;1;;;
131;32.42;1;;;
130;51.872;1;;;
129;0;0;;;
128;0;0;;;
127;51.2236;1;;;
126;97.9084;1;;;
124;0;0;;;
123;76.187;1;;;
122;131.9494;1;;;
121;48.63;1;;;
120;0;0;;;
119;50.251;1;;;
118;0;0;;;
117;0;0;;;
116;30.799;1;;;
115;0;0;;;
114;34.6894;1;;;
109;0;0;;;
107;0;0;;;
106;34.041;1;;;
105;0;0;;;
104;0;0;;;
103;26.2602;1;;;
102;0;0;;;
101;0;0;;;
100;0;0;;;
99;33.7168;1;;;
98;35.662;1;;;
97;0;0;;;
96;0;0;;;
95;65.1642;1;;;
94;130.3284;1;;;
93;0;0;;;
92;57.3834;1;;;
91;0;0;;;
90;0;0;;;
89;28.8538;1;;;
88;125.7896;1;;;
87;82.9952;1;;;
86;0;0;;;
85;0;0;;;
84;0;0;;;
83;0;0;;;
82;0;0;;;
81;0;0;;;
80;0;0;;;
79;0;0;;;
78;0;0;;;
77;0;0;;;
76;0;0;;;
75;81.05;1;;;
74;0;0;;;
73;0;0;;;
72;0;0;;;
71;0;0;;;
70;0;0;;;
69;171.826;1;;;
68;51.872;1;;;
67;210.73;1;;;
66;145.89;1;;;
65;145.89;1;;;
64;0;0;;;
63;0;0;;;
62;0;0;;;
61;0;0;;;
60;0;0;;;
59;0;0;;;
58;41.1734;1;;;
57;62.8948;1;;;
56;66.7852;1;;;
55;0;0;;;
54;9.4018;1;;;
47;0;0;;;
46;0;0;;;
45;0;0;;;
44;36.3104;1;;;
41;0;0;;;
40;102.7714;1;;;
33;0;0;;;
32;60.3012;1;;;
31;60.3012;1;;;
30;83.3194;1;;;
29;73.9176;1;;;
28;35.662;1;;;
27;44.4154;1;;;
26;83.6436;1;;;
25;0;0;;;
24;0;0;;;
23;0;0;;;
22;0;0;;;
21;0;0;;;
20;0;0;;;
19;0;0;;;
18;0;0;;;
8;0;0;;;
7;0;0;;;
4;0;0;;;
3;39.5524;1;;;
2;0;0;;;
1;0;0;;;
