Product ID;Estado;precio
519;0;0
518;1;29.96
517;1;67.32
513;1;151.48
510;0;0
509;0;0
508;0;0
507;1;673.54
506;1;673.54
505;1;673.54
504;1;673.54
501;1;673.54
500;1;673.54
499;1;673.54
498;1;673.54
497;1;673.54
496;1;673.54
495;1;673.54
494;1;673.54
493;1;673.54
492;1;673.54
491;1;673.54
490;1;673.54
485;1;673.54
479;1;225.53
451;0;0
450;0;0
444;1;64.29
443;1;40.39
442;0;0
441;0;0
440;1;57.23
438;1;35.34
437;1;59.52
436;0;0
435;0;0
276;0;0
275;0;0
274;1;44.43
273;1;48.14
272;1;31.98
271;1;57.89
270;1;14.81
269;1;11.78
268;1;69.68
267;1;42.75
266;0;0
265;1;83.82
264;0;0
263;0;0
262;1;124.21
261;1;85.16
260;1;50.8
259;0;0
258;1;36.35
257;0;0
256;1;47.12
255;0;0
254;1;51.5
253;1;14.48
252;1;30.63
251;1;53.18
250;0;0
249;0;0
248;0;0
247;1;38.04
246;0;0
245;0;0
244;0;0
243;1;23.54
242;1;64.96
241;1;32.65
240;0;0
239;0;0
238;1;187.15
237;1;104.34
236;1;0
235;1;179.07
234;1;124.21
233;1;88.86
232;1;15.48
231;0;0
230;0;0
229;0;0
228;0;0
227;0;0
226;0;0
225;0;0
224;0;0
223;0;0
222;0;0
221;0;0
220;0;0
219;0;0
218;0;0
217;0;0
215;0;0
214;1;37.02
213;1;70.68
212;1;103.34
211;1;50.16
210;1;120.84
209;0;0
208;1;64.29
207;1;154.84
206;1;46.45
205;1;23.23
204;1;57.89
203;1;56.55
202;1;54.53
201;0;0
199;1;103.59
197;1;51.79
196;1;32.37
195;0;0
194;1;354.83
192;1;169.05
190;1;309.67
188;1;95
187;0;0
186;0;0
185;1;79.1
184;1;43.42
182;0;0
181;1;48.47
180;0;0
179;0;0
177;0;0
176;0;0
175;0;0
174;1;27.27
173;1;27.27
172;0;0
171;0;0
169;0;0
168;1;145.07
167;1;69.34
166;1;58.07
165;1;28.95
164;1;138.68
163;1;69.68
161;1;27.27
160;0;0
159;0;0
158;0;0
156;1;270.32
155;1;78.43
153;1;28.27
152;0;0
150;0;0
148;0;0
147;1;78.77
146;1;42.75
144;1;50.81
143;0;0
141;0;0
140;1;43.42
139;0;0
137;0;0
135;0;0
134;0;0
133;0;0
132;1;67.74
131;1;34.35
130;1;53.86
129;0;0
128;0;0
127;1;53.18
126;1;101.61
124;0;0
123;1;76.45
122;1;137
121;1;50.5
120;0;0
119;1;54.19
118;0;0
117;0;0
116;1;31.98
115;0;0
114;1;36.02
109;0;0
107;0;0
106;1;62.9
105;0;0
104;0;0
103;1;25.48
102;0;0
101;0;0
100;0;0
99;1;35
98;1;37.02
97;0;0
96;0;0
95;1;67.66
94;1;135.32
93;0;0
92;1;59.57
91;0;0
90;0;0
89;1;29.96
88;1;130.6
87;1;86.17
86;0;0
85;0;0
84;0;0
83;0;0
82;0;0
81;0;0
80;0;0
79;0;0
78;0;0
77;0;0
76;0;0
75;1;84.16
74;0;0
73;0;0
72;0;0
71;0;0
70;0;0
69;1;178.39
68;1;53.86
67;1;218.8
66;1;151.48
65;1;151.48
64;0;0
63;0;0
62;0;0
61;0;0
60;0;0
59;0;0
58;1;42.75
57;1;65.3
56;1;69.34
55;0;0
54;1;9.76
47;0;0
46;0;0
45;0;0
44;1;37.7
41;0;0
40;1;106.13
33;0;0
32;1;62.61
31;1;62.61
30;1;86.5
29;1;76.75
28;1;37.02
27;1;46.11
26;1;86.84
25;0;0
24;0;0
23;0;0
22;0;0
21;0;0
20;0;0
19;0;0
18;0;0
8;0;0
7;0;0
4;1;39.52
3;1;41.07
2;0;0
1;0;0
