Product ID;Nombre;;
571;SALSA PARA PASTA BOLOGNESA HEINZ 495G;132.57;1
538;MAIZ PARA COTUFA PANTERA 500G;40.79;1
434;MAIZ PARA COTUFA GABI 500 GR;46.09;1
433;MAIZ ENTERO KALDINI 400 GR;50.99;1
399;CHOCO TONI SANTONI 400 GR;88.52;1
398;CHOCO RICO SAN SIMON 400 GR;90.15;1
396;CHOCO COOL 400 GR;107.28;1
393;CHICHA CON LECHE SAN SIMON 500 GR;105.24;1
392;CHICHA CAMPESTRE 400 GR;88.52;1
385;AZUCAR DON GENARO 1 KILO;44.87;1
384;ARROZ MARY DORADO 800 GR;43.65;1
372;SALSA TOMATE KETCHUP EUREKA 397G;64.45;1
371;SALSA TOMATE KETCHUP DON ANTONIO 397GR;44.05;1
370;SALSA TOMATE KETCHUP COMA PLAST 4KG;377.31;1
369;SALSA TOMATE  KETCHUP COLMENA 397G;54.25;1
368;SALSA ROSADA FRITZ 260G;68.12;1
365;PASTA HORIZONTE TORNIL 1K EE;50.99;1
364;PASTA CAPRI E E LARGA 1;44.05;1
361;MAYONESA TIGO 500GR;112.17;1
360;MAYONESA MISERICORDIA 445GR;91.78;1
359;MAYONESA MISERICORDIA 175G;47.72;1
358;MAYONESA MAVESA ADER 3.6KG;1,019.76;1
357;MAYONESA KALDINI 445GR;98.71;1
356;MAYONESA 100 X100TO 175G;44.05;1
353;MANTEQ LA DELICIA 500GR;59.55;1
352;MANTEQ LA DELICIA 250GR;29.78;1
348;LECHE POLVO SAN SIMON 900GR;298.99;1
347;LECHE POLVO LUMALAC 1 KILO;295.73;1
333;COLADO OSOLE PERA 100G;19.58;1
332;COLADO OSOLE MANZANA 100;19.58;1
331;COLADO OSOLE FRU MIX 100GR;19.58;1
330;COLADO OSOLE DURAZNO 100GR;19.58;1
329;COLADO OSOLE CIRUELA 100GR;19.58;1
328;COLADO NATULAC PERA 186G;37.53;1
327;COLADO NATULAC PERA 113G;32.22;1
326;COLADO NATULAC MANZANA 186G;37.53;1
325;COLADO NATULAC MANZANA 113G;32.22;1
324;COLADO NATULAC DURAZNO 113G;32.22;1
323;COLADO HEINZ PERA 113G;35.49;1
322;CEREAL ROCKET CH 220G;84.84;1
321;CEREAL ROCKET CH 120G;46.91;1
320;CEREAL POP CRONCH CHOCOLATE 240G;88.52;1
319;CEREAL POP CRONCH 240G;83.21;1
318;CEREAL PLANET FRUIT 240 G;68.12;1
317;CARAOTA NEG VENELA 400G;33.86;1
316;CARAOTA NEG VENELA 1 KILO;76.69;1
315;CARAOTA BLAN PANTERA 454G;50.99;1
313;CAFE SAN ANTONIO 200G GOURM;89.74;1
312;CAFE LA PROTECTORA 250G;81.58;1
311;CAFE LA PROTECTORA 100G;32.63;1
310;CAFE JP 200G;64.04;1
309;CAFE FLOR D ARAUCA 500G;142.77;1
302;AZUCAR 100 X 100 900GR;44.87;1
301;AVENA VENELA 400GR;32.63;1
300;AVENA MI CHACHA 800GR;73.01;1
299;ATUN EVEBA ACEIT VEG 170GR;83.21;1
297;ATUN DIPLOMATICO TOMATE 170GR;30.59;1
296;ATUN 170G WILLINGER ACEITE;46.91;1
295;ATUN 170G WILLIENGER AGUA;46.91;1
293;ARVEJA VERDE CHACHA 400;32.22;1
292;ARVEJA VERDE CHACHA 1K;77.50;1
291;ARVEJA VERD VENELA 500;39.16;1
290;ARVEJA VERD PANTERA 900;72.20;1
289;ARROZ VENELA 900GR;39.16;1
288;ARROZ SANTONI ZAFI 800;39.97;1
287;ARROZ SANTONI PREM 900G;39.97;1
