Product ID;Nombre;Estado;35.62
577;SERVILLETA ZZ PEQ DISP 160 HOJAS;1;30.31
568;SALSA OSOLE PIZZA 340G;1;48.64
567;SALSA OSOLE NAPOLI 340;1;47.62
541;PAPEL ALUMINIO ALNAFOL 6.7M;1;58.88
538;MAIZ PARA COTUFA PANTERA 500G;1;44.21
443;Jamon Endiablado Plumrose 60gr;1;42.67
386;CEREAL AZUCARADA 240G;1;88.41
379;VINAGRE ENVAPRIMOLCA 500ML;1;22.19
378;VINAGRE ENVAPRIMOLCA 1L;1;32.43
372;SALSA TOMATE KETCHUP EUREKA 397G;1;40.11
364;PASTA CAPRI E E LARGA 1;1;47.45
347;LECHE POLVO LUMALAC 1 KILO;1;290.15
343;HARINA TRIGO MARY T USO 900G;1;46.08
337;DESINF MISTOLIN AROMATIZANTE NARANJA;1;56.32
336;DESINF MISTOLIN AIR NAV PIN ES;1;56.32
317;CARAOTA NEG VENELA 400G;1;36.58
291;ARVEJA VERD VENELA 500;1;39.34
289;ARROZ VENELA 900GR;1;40.11
285;ARROZ PRIMOR CLASICO 1K;1;45.35
270;Sal Refinada Bahia 1 Kg.;1;15.57
269;Sal Refinada Delmar 1 Kg;1;12.47
268;Pepitona Margarita Picante 140 Gr.;1;75.62
267;Pasta Para Pasticho Lasagna Galo 200 Gr.;1;45.35
265;Pasta Corta Primor 1 Kg.;1;81.58
262;Mayonesa Mavesa 445 Gr.;1;121.18
261;Maizina Americana 400 Gr.;1;95.94
260;Lentejas Pantera 454 Gr.;1;54.53
258;Jabon Las Llaves Fragancia Bebe 160 Gr.;1;42.40
257;Jabon Azul Las Llaves 200 Gr.;1;41.82
253;Esponjas Doble Uso 868;1;15.19
251;Desifectante Mistolin 828 Ml.;1;56.32
248;Crema Dental Colgate Menta 100 Ml;1;73.46
247;Crema Dental Colgate Kids 50 Ml;1;40.31
246;Cloro Tapa Amarilla 1 Lt;1;32.43
238;Toddy 400gr;1;197.99
237;Toddy 200gr;1;112.27
234;Dalvito 300gr;1;169.21
232;Sardina Tomate Marbonita 170 Gr.;1;17.92
229;Pasta de Tomate COMA 200gr;1;42.52
214;Margarina Deline 250gr;1;39.09
213;Margarina Deline 500gr;1;78.17
212;Mayonesa Fergos 445gr;1;104.11
206;Maizina Americana 200gr;1;53.37
205;Maizina Americana 90gr;1;26.18
204;Leche Liquida Completa La Pastoreña 1L;1;63.15
203;Leche Liquida Descremada La Pastoreña 1L;1;63.15
199;Leche En Polvo Completa Dobon 400gr.;1;98.15
197;Leche En Polvo Completa Do Bon 200gr;1;51.20
196;Leche En Polvo Completa Do Bon 120gr;1;64.00
194;Leche En Polvo La Campiña 900gr;1;368.67
192;Leche En Polvo Completa La Campestre 500gr;1;199.34
190;Leche En Polvo Completa La Campestre900gr;1;337.94
179;Pasta Vermicelli Allegri 1Kg;1;50.86
174;Crema de Arroz Mary 450gr;1;33.28
169;Nestle Cerelac 100gr;1;54.69
168;Cafe molido Fama de America 500gr;1;122.21
166;Cafe molido Fama de America 200gr;1;56.53
164;Cafe molido Madrid 500gr;1;137.91
163;Cafe molido Madrid 250gr;1;69.43
161;Cafe molido Madrid 100gr;1;27.19
156;Cafe molido Amanecer 500gr;1;161.80
155;Cafe molido Amanecer 200gr;1;62.98
153;Cafe molido Amanecer 100gr;1;32.69
147;Caraotas Negras Pantera  900gr;1;87.39
146;Caraotas Negras Pantera 454gr;1;46.00
139;Atun The King Of The Seas 170gr;1;52.48
135;Arroz Mary Premium 1Kg;1;55.47
134;Arroz Mary Superior 1Kg;1;44.21
131;Avena en Hojuelas Pantera 400gr;1;39.09
130;Avena en Hojuelas Don Pancho 400gr;1;37.55
126;Aceite de Soya Vatel 1L;1;101.72
125;BASKEN DOBLE 20;1;53.25
123;Aceite de Soya Coamo  900ml;1;80.90
122;Aceite de Maiz  MAZEITE 1L;1;136.20
117;Harina de Trigo Dulce Mar Leudante 1Kg;1;52.84
115;Harina de Maiz Blanca Juana 1Kg;1;30.62
114;harina de maiz blanca pan 1kg;1;38.10
103;Papel Higienico Lucianos Morado;1;29.02
98;Cloro Kris 1 Lts.;1;34.82
94;Lavaplatos Axion Crema 500 Gr.;1;152.93
88;Ajax Liquido Multi Superficies 1 Lt.;1;160.78
87;Ajax Liquido Multi Superficies 500 Ml;1;91.25
58;Salsa ketchup Pampero 198g;1;44.21
57;Salsa ketchup Pampero 397g;1;68.10
56;Salsa ketchup Heinz de 397g;1;76.63
54;Sal Refinada Celestial 1 kg.;1;9.67
44;Azúcar Refinada Maite 900 Gr.;1;46.70
42;PASTA CAPRI DEDAL 1KG;1;50.86
40;Aceite Vegetal Vatel 1 Lt.;1;101.72
32;Mayonesa Mavesa 175gr;1;121.18
29;Margarina Nelly 500gr;1;80.22
28;Margarina Nelly 250gr;1;39.09
27;Margarina Mavesa 250gr;1;48.64
26;Margarina Mavesa 500gr;1;89.78
25;lentejas, presentacion de 400g;1;47.45
12;DESINFECTANTE  MISTOLIN FRES FRUTAL 828M;1;56.32
4;Arroz Mary Tradicional 1Kg.;1;40.79
