"ID";"PRODUCTO";"Activo";"Precio sin tax";"URL imagen";"Cantidad";"Categorias"
"277";"ACEITE ALMA 800ML";"1";"71.053";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_084452.png";"10000";"2,3,12,132"
"278";"ACEITE OLIVA GALLO 500ML";"1";"329.283864";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_085001.png";"10000";"2,3,12,132"
"279";"ACEITE OLIVA KALDINI VID 1L";"1";"519.8986136";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_085201.png";"10000";"2,3,12,132"
"280";"ACEITE PORTUMESA 700ML";"1";"58.922";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_084551.png";"10000";"2,3,12,132"
"281";"ACEITE SALAD ESP 900ML";"1";"65.854";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_084615.png";"10000";"2,3,12,132"
"282";"ACEITE SOYA 900ML";"1";"65.854";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_084352.png";"10000";"2,3,12,132"
"283";"ARROZ GRAN MARQUES 1K PR";"1";"38.126";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_085918.png";"10000";"2,3,12,130"
"284";"ARROZ MARY ESMERA 900G";"1";"45.058";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_090146.png";"10000";"2,3,12,130"
"285";"ARROZ PRIMOR CLASICO 1K";"1";"50.257";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_091559.png";"10000";"2,3,12,130"
"286";"ARROZ SANTONI EXCEL 1K";"1";"39.859";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_090547.png";"10000";"2,3,12,130"
"287";"ARROZ SANTONI PREM 900G";"1";"36.393";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_090515.png";"10000";"2,3,12,130"
"288";"ARROZ SANTONI ZAFI 800";"1";"36.393";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_091639.png";"10000";"2,3,12,130"
"289";"ARROZ VENELA 900GR";"1";"38.126";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_090343.png";"10000";"2,3,12,130"
"290";"ARVEJA VERD PANTERA 900";"1";"62.388";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_092205.png";"10000";"2,3,12,122"
"291";"ARVEJA VERD VENELA 500";"1";"38.126";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_092002.png";"10000";"2,3,12,122"
"292";"ARVEJA VERDE CHACHA 1K";"1";"69.32";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_092059.png";"10000";"2,3,12,122"
"293";"ARVEJA VERDE CHACHA 400";"1";"31.194";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_092029.png";"10000";"2,3,12,122"
"294";"ATUN 142G WILLINGER ACEITE";"1";"36.393";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_092629.png";"10000";"2,3,12,"
"295";"ATUN 170G WILLIENGER AGUA";"1";"41.592";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_092255.png";"10000";"2,3,12,119"
