"ID";"PRODUCTO";"Activo";"Precio sin tax";"URL imagen";"Cantidad";"Categorias"
"384";"ARROZ MARY DORADO 800 GR";"1";"41.906";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_105517.JPG";"10000";"2,3,12,130"
"385";"AZUCAR DON GENARO";"1";"45.55";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_105617.JPG";"10000";"2,3,12"
"386";"CEREAL AZUCARADA 240G";"1";"83.8222032";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_133732.JPG";"10000";"2,3,12,118"
"387";"SHAMPOO UNO COCO 300ML";"1";"72.88";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131917.JPG";"10000";"2.5"
"388";"SHAMPOO UNO OLIVA 300ML";"1";"72.88";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131830.JPG";"10000";"2.5"
"389";"SHAMPOO UNO MENTA 300ML";"1";"72.88";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131930.JPG";"10000";"2.5"
"390";"SHAMPOO UNO MANZA 300ML";"1";"72.88";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131847.JPG";"10000";"2.5"
"391";"CHICHA CAMPESTRE 200G";"1";"52.838";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_104206.JPG";"10000";"2,3,12"
"392";"CHICHA CAMPESTRE 400GR";"1";"82.004576";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_104139.JPG";"10000";"2,3,12"
"393";"CHICHA SAN SIMON 500GR";"1";"96.566";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_104021.JPG";"10000";"2,3,12"
"394";"LUMALAC LIFETEA";"1";"72.88";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_112521.JPG";"10000";"2,3,12"
"395";"CHICHA TONI 400G";"1";"72.8741696";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_104233.JPG";"10000";"2,3,12"
"396";"CHOCO COOL 400GR";"1";"98.388";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_103940.JPG";"10000";"2,3,12"
"397";"CHOCO POLVO TERRY 400G BOL";"1";"65.6036608";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_105337.JPG";"10000";"2,3,12"
"398";"CHOCO RICO SAN SIMON 400G";"1";"82.004576";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_104048.JPG";"10000";"2,3,12"
"399";"CHOCO TONI";"1";"96.5455936";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_104110.JPG";"10000";"2,3,12"
"400";"CLORO SATELITE 500GR ULTRA CLORO";"1";"21.864";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_114343.JPG";"10000";"2.5"
"401";"CLORO LA PERLA 1 LITRO";"1";"55.0244";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_114302.JPG";"10000";"2.5"
"402";"CLORO KINS 1 LITRO";"1";"27.687112";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_114320.JPG";"10000";"2.5"
"403";"DETERGENTE  ABC LIMON 400GR";"1";"72.8741696";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_120956.JPG";"10000";"2.5"
"404";"DETERGENTE TITAN LAV AUTOM 1 KILO";"1";"58.2908816";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_120713.JPG";"10000";"2.5"
"405";"DETERGENTE TITAN LIMON 900GR";"1";"54.6556272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_120748.JPG";"10000";"2.5"
"406";"ESENCIA D FRESA EL AGUILA 230ML";"1";"72.8741696";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130432.JPG";"10000";"2.5"
"407";"ESENCIA D NATA EL AGUILA 250ML";"1";"65.6036608";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130416.JPG";"10000";"2.5"
"408";"ESENCIA EL AGUILA COLITA 350";"1";"69.2257968";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130445.JPG";"10000";"2.5"
"409";"ESPONJA MAX HOGAR MALLITA";"1";"30.97574912";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_133827.JPG";"10000";"2.5"
"410";"FIDEOS KALDINI CARNE 70G";"1";"20.0361696";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_112108.JPG";"10000";"2,3,12"
"411";"FIDEOS KALDINI VEGETAL 70G";"1";"20.0361696";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_112158.JPG";"10000";"2,3,12"
"412";"GALLETA BELVITA HONY 252GR";"1";"74.6917968";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111546.JPG";"10000";"2,3,12"
"413";"GALLETA BELVITA KRAKER 252G";"1";"74.6917968";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111626.JPG";"10000";"2,3,12"
"414";"GALLETA MARIA PUIG SELEC 250";"1";"52.838";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111531.JPG";"10000";"2,3,12"
"415";"GALLETA SODA PUIG 240G";"1";"52.838";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_111608.JPG";"10000";"2,3,12"
"416";"GELATINA QUALIMAX FRAMBUESA 20GR";"1";"14.57483392";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130551.JPG";"10000";"2,3,12"
"417";"GELATINA QUALIMAX PINA 20GR";"1";"14.57483392";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130608.JPG";"10000";"2,3,12"
"418";"GELATINA QUALIMAX UVA 20GR";"1";"14.57483392";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130626.JPG";"10000";"2,3,12"
"419";"GUISANTES AREL 400GR";"1";"72.87839664";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_130500.JPG";"10000";"2,3,12,119"
"420";"GUISANTES KALDINI 400G";"1";"49.2027456";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_112859.JPG";"10000";"2,3,12,119"
"421";"GUISANTES OSOLE 300GR";"1";"41.8899664";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_113003.JPG";"10000";"2,3,12,119"
"422";"HORTALIZAS OSOLE 300GR";"1";"43.7287288";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_112913.JPG";"10000";"2,3,12,119"
"423";"JABON LIQUIDO CON SUAVISANTE ULTRASAT 946 ML";"1";"65.6036608";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_114239.JPG";"10000";"2.5"
"424";"LAVAPLATO CREMA TITAN 250GR";"1";"36.4370848";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131720.JPG";"10000";"2.5"
"425";"LAVAPLATO CREMA TITAN 500GR";"1";"63.7860336";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131700.JPG";"10000";"2.5"
"426";"LAVAPLATO LIQUIDO TITAN 500ML";"1";"43.7075936";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_121818.JPG";"10000";"2.5"
"427";"LECHE CONDENSADA CAMPEST 395";"1";"78.346";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_103530.JPG";"10000";"2,3,12,119,123"
"428";"LECHE CONDENSADA NATULAC 100ML";"1";"29.166576";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_132025.JPG";"10000";"2,3,12,119,123"
"429";"LECHE CONDENSADA NATULAC 397GR";"1";"91.1";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_103530.JPG";"10000";"2,3,12,119,123"
"430";"LECHE COMPLETA LLANO ALEGRE 1KG";"1";"182.2";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_113517.JPG";"10000";"2,3,12,123"
"431";"MAIZ DULCE NUDELI 200GR";"1";"56.4732544";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_112936.JPG";"10000";"2,3,12,119"
"432";"MAIZ DULCE TIGO 300GR";"1";"58.30356272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_113018.JPG";"10000";"2,3,12,119"
"433";"MAIZ ENTERO KALDINI 400G";"1";"49.2027456";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_113028.JPG";"10000";"2,3,12,119"
"434";"MAIZ P/COTUFA GABI 500GR";"1";"43.7287288";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_113118.JPG";"10000";"2,3,12"
"538";"MAIZ P/COTUFA PANTERA 500G";"1";"43.7075936";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_113102.JPG";"10000";"2,3,12"
"539";"OREO CHOCOLATE TUBO";"1";"32.8018304";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_132005.JPG";"10000";"2,3,12"
"540";"OREO FRESA TUBO";"1";"36.4370848";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131950.JPG";"10000";"2,3,12"
"541";"PAPEL ALUMINIO ALNAFOL 6.7M";"1";"76.509424";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131859.JPG";"10000";"2,3,12"
"542";"PASSATA SINDONI 480G";"1";"109.31970848";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_110529.JPG";"10000";"2"
"543";"PAÑAL ECOSOFT XL";"1";"142.1130848";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131333.JPG";"10000";"2,3,12"
"544";"PAÑAL LANDA 3 MIDI 4-9K";"1";"76.509424";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131409.JPG";"10000";"2.5"
"545";"PAÑAL LANDA 4JUNI 11-25KG";"1";"76.52210512";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131538.JPG";"10000";"2.5"
"546";"PAÑALES DESEC PERFECT TALLA M";"1";"204.06458304";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231014_131508.JPG";"10000";"2.5"
