"ID";"Nombre";"Activo";"Precio sin tax";"URL";"Cantidades";"categorias";"categoría padre"
"5";"CACAO POLVO DAMASCO 200GR";"1";"72,64";"";"10000";"2,3,12";"3"
"6";"CAFE EL PEÑON 250GR";"1";"77,34";"https://inversionesrpz.com/ayuda/Fotosoriginales/CAFE EL PENON 250GR.png";"10000";"2,3,12";"3"
"9";"CAFE EL PEÑON ESPRESO 500GR";"1";"154,69";"https://inversionesrpz.com/ayuda/Fotosoriginales/CAFE EL PENON ESPRESO 500GR.png";"10000";"2,3,12";"3"
"10";"CAFE EL PEÑON GOURM 250G";"1";"94,16";"https://inversionesrpz.com/ayuda/Fotosoriginales/CAFE EL PENON GOURM 250G.png";"10000";"2,3,12";"3"
"11";"CREMA PARA PEINAR";"1";"0";"";"10000";"2.5";"5"
"12";"DESINFECTANTE  MISTOLIN FRES FRUTAL 828M";"1";"57,17";"";"10000";"2.5";"5"
"13";"JABON LIQUIDO BRIX ON AMARILLO 600ML";"1";"94,16";"";"10000";"2.5";"5"
"14";"JABON LIQUIDO BRIX ON AZUL 600ML";"1";"94,16";"";"10000";"2.5";"5"
"15";"JABON LUX BOT JAZMIN 125GR";"1";"37,83";"";"10000";"2.5";"5"
"16";"JABON LUX BOT ORQ. NEGRA 125GR";"1";"37,83";"";"10000";"2.5";"5"
"17";"JABON LUX BOT ROSAS FRANC 125G";"1";"37,83";"";"10000";"2.5";"5"
"34";"JABON LUX BOT VAINILLA 125G";"1";"37,83";"";"10000";"2.5";"5"
"35";"JABON PANELA ZAFIRO JUNIOR 100G";"1";"8,41";"";"10000";"2.5";"5"
"36";"JABON REXONA ANTIBACTERIAL BAMBOO 120";"0";"0";"";"10000";"2.5";"5"
"37";"JABON REXONA ANTIBACTERIAL FRESH 3X1";"1";"98,36";"";"10000";"2.5";"5"
"38";"JUGO NATULAC MANZANA 500ML";"1";"50,44";"";"10000";"2,3,12";"3"
"39";"JUGO NATULAC PERA 500ML";"1";"50,44";"";"10000";"2,3,12";"3"
"42";"PASTA CAPRI DEDAL 1KG";"1";"50,44";"";"10000";"2,3,12";"3"
"43";"SUAVIZANTE PERLA 1L";"0";"0";"";"10000";"2.5";"5"
"48";"TALCO BEBE MOMI 200GR";"1";"38,11";"";"10000";"2.5";"5"
