"ID";"Nombre";"ACTIVO";"PRECIO";"FOTO";"Cantidades";"CATEGORIAS";""
"49";"ACIFLUX SUS 50ML";"1";"584.25";"https://inversionesrpz.com/ayuda/Fotosoriginales/Aciflux sus 50ml.jpg";"10000";"10";""
"50";"ALBENDAZOL 200MGR 2TAB";"1";"147.96";"https://inversionesrpz.com/ayuda/Fotosoriginales/Albendazol.jpg";"10000";"10";""
"51";"AMINOVIVAL SOL. 120ML";"1";"330.43";"https://inversionesrpz.com/ayuda/Fotosoriginales/Aminovival.jpg";"10000";"10";""
"52";"AMOBEST";"1";"218.14";"https://inversionesrpz.com/ayuda/Fotosoriginales/amobest.jpg";"10000";"10";""
"53";"AMOXI DR PET 30 ML";"1";"318.15";"https://inversionesrpz.com/ayuda/Fotosoriginales/Amoxi Dr Pet 30ml.jpg";"10000";"10";""
"587";"ANTEC GATO";"1";"139.19";"https://inversionesrpz.com/ayuda/Fotosoriginales/Antec Gato.jpg";"10000";"10";""
"108";"AZITROMICINA 500MG";"1";"177.2";"https://inversionesrpz.com/ayuda/Fotosoriginales/Azitromicina 500 mg.jpg";"10000";"10";""
"110";"BACTROVET PLATA";"1";"600.04";"https://inversionesrpz.com/ayuda/Fotosoriginales/Bactrovet Plata.jpg";"10000";"10";""
"111";"BASKEN 4 ACTIVE PERRO CHICO";"1";"341.54";"https://inversionesrpz.com/ayuda/Fotosoriginales/Basken 4 active 10kg.jpg";"10000";"10";""
"112";"BASKEN 4 ACTIVE PERRO MEDIANO";"1";"379.56";"https://inversionesrpz.com/ayuda/Fotosoriginales/Basken 4 active 20kg.jpg";"10000";"10";""
"113";"BASKEN 4 ACTIVE PERRO GRANDE";"1";"425.17";"https://inversionesrpz.com/ayuda/Fotosoriginales/Basken 4 active 40kg.jpg";"10000";"10";""
"125";"BASKEN DOBLE 20";"1";"243.29";"https://inversionesrpz.com/ayuda/Fotosoriginales/basken doble 20.jpg";"10000";"10";""
"136";"BASKEN PLUS PERRO CHICO";"1";"228.09";"https://inversionesrpz.com/ayuda/Fotosoriginales/Basken plus.jpg";"10000";"10";""
"138";"BASKEN PLUS GATO ";"1";"190.07";"https://inversionesrpz.com/ayuda/Fotosoriginales/basken plus gato.jpg";"10000";"10";""
"142";"BASKEN CACHORRO SUSPENSION ";"1";"371.95";"https://inversionesrpz.com/ayuda/Fotosoriginales/Basken plus sol. Cachorro.jpg";"10000";"10";""
"145";"BASKEN SUSPENSIÓN ";"1";"371.95";"https://inversionesrpz.com/ayuda/Fotosoriginales/Basken solucion.jpg";"10000";"10";""
"149";"B-COMPLEX ORAL ";"1";"105.85";"https://inversionesrpz.com/ayuda/Fotosoriginales/B-Complex.jpg";"10000";"10";""
"151";"BISAK";"1";"151.47";"https://inversionesrpz.com/ayuda/Fotosoriginales/Bisak.jpg";"10000";"10";""
"154";"BRAVECTO PLUS GATO 1,2-2,8KG";"1";"1500.1";"https://inversionesrpz.com/ayuda/Fotosoriginales/Bravecto plus Gato 1,2-2,8kg.jpg";"10000";"10";""
"157";"BRAVECTO PLUS GATO 6,25-12,5KG";"1";"1947.5";"https://inversionesrpz.com/ayuda/Fotosoriginales/Bravecto plus gato 6,25-12,5kg.jpg";"10000";"10";""
