app_text_home,Domov
app_text_recent_product,Nedávny produkt
app_text_category,Kategórie
app_text_login,Prihlásiť sa
app_text_logout,Odhlásiť sa
app_text_login_signup,Prihlásiť Registrácia
app_text_account,Môj účet
app_text_contact,Kontaktuj nás
app_text_about,O nás
app_text_wishlist,Pridať do zoznamu želaní
app_text_cart,Pridať do košíka
app_text_off,vypnutý
app_text_all,Všetko
app_text_languages,Jazyk
app_text_sort,Triediť
app_text_filter,Filter
app_text_sort_order,Vyberte Order
app_text_price_asc,Cena: nízka až vysoká
app_text_price_desc,Cena: vysoká až nízka
app_text_product,Produkt
app_text_select,Vybraný
app_text_instock,Skladom
app_text_outstock,Vypredané
app_text_product_info,Informácie o produkte a starostlivosť
app_text_customization,Prispôsobenie produktu
app_text_accessories,Príslušenstvo
app_text_view_less,Menej
app_text_view_more,Vidieť viac
app_text_provide_details,Uveďte podrobnosti
app_text_bag,Nákupná taška
app_text_apply_voucher,Aplikovať poukaz
app_text_entry_voucher_code,Zadajte kód poukážky
app_text_apply,Uplatniť
app_text_gift,Baliaci papier
app_text_entry_message,Zadajte svoju správu
app_text_available_first,Najskôr pošlite dostupné produkty
app_text_continue_shopping,Pokračovať v nákupe
app_text_continue_checkout,Pokračujte v pokladni
app_text_update_quantity,Aktualizácia množstva
app_text_enter_quantity,Zadajte množstvo (0-10)
app_text_empty_cart,Váš nákupný košík je prázdny!
app_text_goto_home,Prejdi na domovskú stránku
app_text_review_checkout,Ohodnoť svoju objednávku
app_text_add_new_shipping_address,Pridajte novú dopravnú adresu
app_text_history,Prepravné podrobnosti
app_text_summary,Zhrnutie objednávky
app_text_shipping_methods,Metódy prepravy
app_text_comment,Komentár
app_text_payment_summary,Zhrnutie
app_text_proceed,Pokračovať v platbe
app_text_make_payment,Vykonať platbu
app_text_congratulations,Blahoželanie
app_text_shipping_addresses,Dodacia adresa (režimy)
app_text_order_detail,Podrobnosť
app_text_update_personal,Aktualizovať osobné údaje
app_text_update_password,Aktualizácia hesla
app_text_current_password,Súčasné heslo
app_text_new_password,Nové heslo
app_text_confirm_password,Potvrďte heslo
app_text_cancel,Zrušiť
app_text_save,Zachrániť
app_text_sale,zľava
app_text_new,Nový
app_text_order_ref,Referencia
app_text_status,Postavenie
app_text_placed,Kladený na
app_text_reorder,Nastaviť
app_text_order_details,Detaily objednávky
app_text_status_history,História stavu
app_text_shipping_address,Prepravná adresa
app_text_order_summary,Zhrnutie objednávky
app_text_shipping_method,Spôsob dopravy
app_text_payment_method,Spôsob platby
app_text_gift_wrapping,Balenie darčekov
app_text_no_shipping_address,Žiadna dodacia adresa k dispozícii!
app_text_no_order_details,Nie sú k dispozícii žiadne podrobnosti o objednávke!
app_text_signup,Prihlásiť Se
app_text_continue_guest,Pokračujte ako hosť
app_text_email,E -mail
app_text_password,Heslo
app_text_forgot_password,Zabudol si heslo?
app_text_login_social_account,Môžete sa prihlásiť pomocou sociálneho účtu.
app_text_login_with_google,Prihláste sa pomocou Google+
app_text_login_with_facebook,Prihlásiť sa cez Facebook
app_text_signup_with_google,Registrácia s Google+
app_text_signup_with_facebook,Registrácia s Facebookom
app_text_msg_enter_valid_email,Zadajte platný e -mail!
app_text_msg_enter_email,Zadajte e -mail!
app_text_msg_enter_password,Zadajte heslo!
app_text_msg_password_characters_less_than_3,Zadajte heslo s znakmi viac, ktoré sa rovnajú 3!
app_text_msg_first_name,Krstné meno
app_text_msg_last_name,Priezvisko
app_text_msg_dob,Dátum narodenia
app_text_msg_confirm_password,Potvrďte heslo
app_text_msg_personal_details,Osobné údaje
app_text_msg_pass_not_matched,Heslo a potvrdenie hesla sa nezhodujú!
app_text_sold_by,Predal:
app_text_write_review,Recenzia
app_text_view_review,Zobraziť recenzie
app_text_view_seller_products,Zobraziť produkty predajcu
app_text_wait,Prosím čakajte
app_text_loading,Načítanie údajov ...
app_text_msg_went_wrong,Niečo sa pokazilo. Prosím skúste znova.
app_text_msg_no_internet_found,Nenašli sa žiadne pripojenie na internet.
app_text_msg_no_internet_title,Žiadny internet
app_text_msg_request,Žiadosť nemôže byť proces. Dôvodom môže byť pomalé pripojenie na internet.
app_text_msg_order_placed_email,Vaša objednávka bola úspešne zadaná. Dostanete e -mail týkajúci sa toho istého.
app_text_msg_product_look,Produkty môžete hľadať podľa ich kategórie.
app_text_msg_search_product,Môžete vyhľadať akýkoľvek produkt v obchode podľa textu alebo hlasu!
app_text_msg_view_cart,Môžete si pozrieť nákupný košík s množstvom!
app_text_msg_logout,Úspešne ste sa odhlásili!
app_text_msg_view_product,Produkt môžete zobraziť v zozname alebo v režime mriežky!
app_text_msg_sort_product,Produkt môžete zoradiť podľa ich ceny!
app_text_msg_filter_product,Produkty môžete filtrovať podľa svojej potreby!
app_text_text_next,Ďalšie
app_text_text_okay,V poriadku
app_text_required,Požadovaný
app_text_msg_rating,Vyberte hodnotenie
app_text_msg_add_cart,Produkt môžete pridať do nákupného košíka jednoduchým kliknutím na tlačidlo „Pridať do košíka“!
app_text_msg_add_wishlist,Môžete pridať produkt do zoznamu želaní jednoduchým kliknutím na tlačidlo „Pridať do zoznamu želaní“!
app_text_msg_product_price,Cena produktu bola aktualizovaná!
app_text_msg_product_not_available,Tento produkt nie je k dispozícii na objednávku!
app_text_msg_combination,Produkt už nie je na sklade s vybranou kombináciou. Vyskúšajte ďalšie kombinácie.
app_text_msg_product_no_stock,Tento produkt nie je k dispozícii v požadovanom množstve alebo nie na sklade!
app_text_msg_out_stock,Niektoré výrobky vo vozíku nie sú k dispozícii v požadovanom množstve alebo nie na sklade. Odstráňte takéto produkty z košíka!
app_text_msg_checkout_products,Produkty pokladnice v nákupnom košíku môžete jednoducho kliknúť na tlačidlo „Pokračujte v pokladni“.
app_text_msg_apply_voucher,Na nákupný košík môžete použiť poukaz!
app_text_msg_update_quantity,Môžete aktualizovať množstvo produktu alebo ho odstrániť z nákupného košíka!
app_text_msg_view_details,Podrobnosti o produkte môžete zobraziť kliknutím na obrázok produktu!
app_text_msg_success,Úspech!
app_text_msg_failure,Neúspech!
app_text_msg_enter_quantity,Zadajte množstvo
app_text_quantity,Množstvo
text_quantity,Množstvo
app_text_remove,Presťahovať
app_text_customization_details,Podrobnosti o prispôsobení
app_text_msg_add_address,Kliknutím na tlačidlo môžete pridať novú dopravnú adresu!
app_text_msg_update_address,Môžete aktualizovať dodaciu adresu!
app_text_msg_select_address,Môžete si vybrať ľubovoľnú prepravnú adresu jednoduchým kliknutím na ňu!
app_text_select_address_text,*Vyberte prepravnú adresu a skontrolujte svoju objednávku.
app_text_msg_no_product,Nie sú k dispozícii žiadne produkty!
app_text_msg_no_comment_available,Žiadne komentáre (komentáre)!
app_text_msg_reset_password,Svoje heslo môžete resetovať kliknutím na „Zabudnite heslo“
app_text_msg_login,Odtiaľto sa môžete prihlásiť do obchodu!
app_text_msg_login_fb,Môžete sa tiež prihlásiť do obchodu z svojho účtu Facebook!
app_text_msg_login_google,Môžete sa tiež prihlásiť do obchodu z účtu Google!
