app_text_sec,sec
app_text_min,min
app_text_hour,Ora
apicall_954834405d762e3b854af89d3841eb2a,Cerere indisponibilă
appcheckabandonedcart_0259a1bb6da0603027485ebdec0e64e3,Notificarea trimisă cu succes
appcheckabandonedcart_32cc9bac41739e0edebc83e239783807,Setarea coș abandonate este dezactivată
appcheckabandonedcart_d5591d98b2f74d48205cfba7803045cf,Nu esti autorizat sa accesezi aceasta pagina
apppayment_c91ceabee74d73ebaa1c93e38a108179,Nu se poate coș de încărcare, coș de id-ul lipseste.
apppayment_02d12101fb0f9afa9e6edb0fef748a42,Nu se pot încărca coș, coș nu este valid.
apppayment_5189067f57ecc2a8b0fed9324bb808ca,Adresa de expediere nu este validă.
apppayment_208a75cceeac8424211bff23a9c5fae9,E-mail client nu este validă
apppayment_dcf951059ca444f87d296d3b192783e6,Clienți cu acest e-mail nu exista
apppayment_dd6b089a49908d671c3e9cc8dc5899ae,mesaj nevalid
appaddaddress_5058fb0856b024c6a3c18d8e0c764157,adresa de expediere a fost actualizat cu succes.
appaddaddress_51c3de87708e874610d18c0f70e525a3,adresa de expediere a fost adaugata cu succes.
appaddaddress_432100411a1c9a89bf06133afe8b96ce,A apărut o eroare la adăugarea adresei.
appaddaddress_eeabead01c6c6f25f22bf0b041df58a9,Trebuie să înregistrați cel puțin un număr de telefon.
appaddaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Această țară necesită să ales un stat.
appaddaddress_3dc3fe315fc270e7425b12e157e4619d,Această țară nu este activă.
appaddaddress_78f66140209a4979028fb80f21be5a44,Fermoarul / codul poștal pe care \ 'am introdus este nevalid. Acesta trebuie să urmeze acest format:% s
appaddaddress_50b668816d2acbdb62484bb5ea5d25ab,Este nevoie de un cod Zip / Cod poștal.
appaddaddress_e6c1e151f2554afad6c0d551046650e8,Fermoarul / codul poștal este nevalid.
appaddaddress_7c77177e0084c27161d63e7de535a1c6,Numărul de identificare este incorectă sau a fost deja utilizat.
appaddaddress_355169a606c66a6a39b8d23609f7329e,Alias-ul% s a fost deja utilizat. Vă rugăm să selectați altul.
appaddaddress_a00acc9b49d721d1e3006715a0ce7014,Adresa de email nu este validă
appaddaddress_dcf951059ca444f87d296d3b192783e6,Clienți cu acest e-mail nu exista
appaddgiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Cos nu a fost găsit
appaddgiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Cantitate
appaddgiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appaddgiftwrapping_287234a1ff35a314b5b6bc4e5828e745,atribute
appaddgiftwrapping_604279a9bb5369542695f2ad9e6185ca,Preț total (Fără TVA.)
appaddgiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,total de tichete
appaddgiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,ambalaj total cadou
appaddgiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Transport total
appaddgiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Transport gratuit!
appaddgiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Taxa totală
appaddgiftwrapping_f3547ae5e06426d87312eff7dda775aa,Pretul total
appaddgiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Profitați de ofertele noastre exclusive
appaddtocart_d0be3f6fa5d819a2a4b8cbf33ed465fe,Datele despre produs lipsește
appaddtocart_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produsul nu a fost găsit
appaddtocart_b771481cd2413f3944a8dd1a7336a7a6,mesaj nevalid
appaddtocart_884d700eec6bda171ce20acc5195fb3d,Adăugați Cantitatea minimă de produs
appaddtocart_92a8d89d9ecdd91b4cc4566666b16a60,Nu se poate adăuga un produs în coș
appaddtocart_d09302c4932f23969957f06289bfddb3,Produs adăugat cu succes
appaddtowishlist_64d3e466dc798bae867ca9044b65822e,Nu se poate încărca produs
appaddtowishlist_ac588dbf1ea617c2628b10c2406e0ed0,Modulul listei este fie inactiv sau nu este instalat.
appaddtowishlist_b65db11517e70558e870ea4bc6dfbf0e,Clienți cu acest e-mail nu este exista.
appaddtowishlist_0e042db7a9a38d0d1c833dd4c141d77d,Adresa de e-mail lipsește sau este nevalid.
appaddtowishlist_6cba49b790757be59e258de6d28fa078,Produs adăugat la lista de dorințe
appapplydelayshipping_e61f52d02b9f52fbe1fd41ed320e29c3,Cos nu a fost găsit
appapplydelayshipping_694e8d1f2ee056f98ee488bdc4982d73,Cantitate
appapplydelayshipping_6665e3761028c84e1d228de3432229ed,SKU
appapplydelayshipping_287234a1ff35a314b5b6bc4e5828e745,atribute
appapplydelayshipping_604279a9bb5369542695f2ad9e6185ca,Preț total (Fără TVA.)
appapplydelayshipping_ada0f55ef37f4928c5cd970f378c15e8,total de tichete
appapplydelayshipping_7c166105b10b8a6a0c0f1c6540f5cd5e,ambalaj total cadou
appapplydelayshipping_f4e8b53a114e5a17d051ab84d326cae5,Transport total
appapplydelayshipping_c6995d6cc084c192bc2e742f052a5c74,Transport gratuit!
appapplydelayshipping_b602e0d0c6a72053d0a5be60cb2f8126,Taxa totală
appapplydelayshipping_f3547ae5e06426d87312eff7dda775aa,Pretul total
appapplydelayshipping_824a96e60e7720c695e8c6f7abd856f4,Este nevoie de un total minim de achiziție% 1s pentru a valida comanda, curent total este% 2s
appapplydelayshipping_ec1f68c64fcaf8260cfacf58cd4d4af7,Profitați de ofertele noastre exclusive
appapplyvoucher_e61f52d02b9f52fbe1fd41ed320e29c3,Cos nu a fost găsit
appapplyvoucher_694e8d1f2ee056f98ee488bdc4982d73,Cantitate
appapplyvoucher_6665e3761028c84e1d228de3432229ed,SKU
appapplyvoucher_287234a1ff35a314b5b6bc4e5828e745,atribute
appapplyvoucher_604279a9bb5369542695f2ad9e6185ca,Preț total (Fără TVA.)
appapplyvoucher_ada0f55ef37f4928c5cd970f378c15e8,total de tichete
appapplyvoucher_7c166105b10b8a6a0c0f1c6540f5cd5e,ambalaj total cadou
appapplyvoucher_f4e8b53a114e5a17d051ab84d326cae5,Transport total
appapplyvoucher_c6995d6cc084c192bc2e742f052a5c74,Transport gratuit!
appapplyvoucher_b602e0d0c6a72053d0a5be60cb2f8126,Taxa totală
appapplyvoucher_f3547ae5e06426d87312eff7dda775aa,Pretul total
appapplyvoucher_ec1f68c64fcaf8260cfacf58cd4d4af7,Profitați de ofertele noastre exclusive
appapplyvoucher_e15b9d349af7453e81350c8ffd2a7615,Trebuie să introduceți un cod de cupon
appapplyvoucher_f49f486fa8a77bcf2d4506587422ed4f,Codul de cupon este nevalid
appapplyvoucher_a866f5cd5e6f4bc4e3ccb09293101e4e,Voucherul aplicat cu succes în coș
appapplyvoucher_e062b646b60fd5fffc3c21afe87eb2ce,Această caracteristică nu este activă pentru acest voucher
appcheckorderstatus_dfcd44bdec4088a7597f5a3d85c6d5bf,Nu se poate încărca coș
